submission_pk,User,MAP
488078,ameyag416,0.5625 (1),
904341,aisys,0.5622 (2),
491312,redken,0.4945 (3),
484988,pbanerj6,0.4130 (4),
488136,jenlindadsouza,0.3940 (5),
487124,dustalov,0.2962 (6),
487266,pajansen,0.2962 (6),
