submission_pk,User,HOTA,DetA,AssA,MOTA,IDF1
1140728,lcw,57.356334 (1),81.094309 (2),40.691036 (1),92.784076 (1),58.164835 (1),
1113713,noahcao,55.730611 (2),81.680488 (1),38.142089 (3),91.960327 (2),54.591264 (2),
1091927,zyayoung,54.244107 (3),73.479953 (7),40.244838 (2),79.651826 (9),51.542712 (3),
1132712,tobiasfshr,54.206121 (4),80.102855 (3),36.816088 (4),87.740952 (5),50.361500 (4),
1100787,agirbau,48.714351 (5),79.772543 (4),29.841093 (5),89.886778 (3),49.497352 (5),
1012899,peizesun,45.583975 (6),75.988778 (6),27.502563 (6),88.447120 (4),45.243474 (6),
1022889,iFighting,41.832869 (7),78.080086 (5),22.599878 (8),86.824177 (6),35.732867 (11),
1095040,Hypoq,40.215636 (8),66.723647 (9),24.368017 (7),82.814024 (8),42.432816 (7),
1125719,yangnan,39.019817 (9),72.760882 (8),21.198688 (12),83.090681 (7),33.715373 (12),
1116330,jiaye,37.214173 (10),63.612765 (10),21.940957 (9),78.958799 (10),38.968284 (10),
995988,wjn922,35.105966 (11),57.357581 (11),21.615101 (11),72.877396 (11),40.215329 (9),
996001,diaoqishuai,35.082546 (12),57.268701 (12),21.619427 (10),72.761028 (12),40.240338 (8),
