submission_pk,User,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr-D
415715,ElTanque,0.137 (6),0.039 (6),0.014 (4),0.006 (5),0.057 (8),0.143 (7),0.113 (1),
110721,arohrbach,0.161 (3),0.052 (3),0.021 (2),0.009 (2),0.071 (4),0.164 (1),0.112 (2),
420408,danieljf24,0.171 (2),0.054 (1),0.022 (1),0.010 (1),0.072 (3),0.163 (2),0.106 (3),
106201,s2vt,0.174 (1),0.053 (2),0.018 (3),0.007 (3),0.070 (5),0.161 (3),0.091 (4),
99241,rakshithShetty,0.110 (9),0.034 (9),0.013 (6),0.006 (4),0.061 (7),0.156 (5),0.090 (5),
415785,yj,0.124 (7),0.034 (8),0.012 (8),0.005 (6),0.055 (9),0.142 (8),0.083 (6),
327211,fodrh1201,0.092 (10),0.029 (10),0.010 (9),0.004 (8),0.040 (11),0.096 (11),0.076 (7),
417877,phyllis,0.157 (5),0.041 (5),0.012 (7),0.004 (9),0.066 (6),0.158 (4),0.073 (8),
104521,macmadman,0.056 (13),0.015 (13),0.006 (11),0.003 (11),0.052 (10),0.134 (10),0.062 (9),
321661,sophieag,0.159 (4),0.043 (4),0.010 (10),0.003 (10),0.080 (1),0.150 (6),0.048 (10),
420480,DL-61-86-WA,0.084 (11),0.019 (11),0.005 (12),0.001 (13),0.038 (12),0.075 (12),0.048 (11),
325351,ayush11011995,0.118 (8),0.036 (7),0.013 (5),0.005 (7),0.074 (2),0.142 (9),0.047 (12),
326081,frcnnBigger,0.069 (12),0.016 (12),0.005 (13),0.002 (12),0.034 (13),0.070 (13),0.035 (13),
