submission_pk,User,MAP,AvgRec,MRR
385767,sagustian,0.796 (1),0.943 (1),86.000 (1),
385350,Mr_Woo,0.769 (2),0.912 (2),83.500 (2),
384481,naman,0.751 (3),0.908 (3),81.333 (3),
386673,LS2NSEMEVAL,0.744 (4),0.883 (5),79.500 (4),
383639,asma,0.737 (5),0.882 (6),78.333 (6),
382885,TitasNandi,0.736 (6),0.890 (4),79.333 (5),
380382,DorisHoogeveen,0.714 (7),0.861 (8),76.667 (8),
383599,lluism-test,0.714 (7),0.861 (8),76.667 (8),
386191,lorkii,0.708 (8),0.875 (7),77.250 (7),
383039,preslav,0.559 (9),0.732 (9),62.233 (9),
