submission_pk,User,IoU
949393,kranthi,0.858016 (1),
949965,SAURABHIMA,0.851598 (2),
948933,Aarsh_2001,0.842381 (3),
949429,ankit24,0.837604 (4),
949403,samvram,0.836098 (5),
950033,Sids2k,0.794363 (6),
949462,sid0312,0.741867 (7),
949373,Abhishek_Ravindran,0.730517 (8),
949942,dharshan_kumar,0.689956 (9),
948613,argon125,0.671171 (10),
948693,Aakash_Modi,0.507803 (11),
948907,anirudh14,0.504738 (12),
948687,rohith2,0.502937 (13),
