submission_pk,User,Top-1 accuracy,Top-3 accuracy,Top-5 accuracy,Execution time
979086,xiayoulu0,0.76 (1),0.82 (3),0.84 (3),- (-),
982125,ishan.dave,0.74 (2),0.88 (1),0.96 (1),- (-),
982114,brandonclark314,0.74 (3),0.87 (2),0.96 (1),- (-),
981566,zihanGao,0.73 (4),0.73 (5),0.73 (4),- (-),
978452,Marco_JR,0.69 (5),0.69 (6),0.69 (5),- (-),
979133,wujie1010,0.66 (6),0.80 (4),0.85 (2),- (-),
978746,lizhou2,0.65 (7),0.65 (7),0.65 (6),- (-),
979094,shizhi21,0.53 (8),0.57 (8),0.58 (8),- (-),
979090,alisher_ai,0.33 (9),0.51 (9),0.59 (7),- (-),
