submission_pk,User,Micro precision,Micro recall,Micro F1 score,Macro precision,Macro recall,Macro F1 score,Averaged precision,Averaged recall,Averaged F1 score,Mean Squared Error (MSE)
1113218,villacu,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.771667 (4),0.667147 (6),0.715611 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
1060040,saroyehun,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.710000 (7),0.720812 (1),0.715365 (2),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
890911,QuSwe1d0n,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.605000 (11),0.536189 (10),0.568520 (10),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
890803,qu,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.743333 (6),0.605978 (9),0.667665 (7),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
892241,Sreelakshmi,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.918333 (1),0.314318 (13),0.468338 (13),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
893051,aomar,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.875000 (3),0.323874 (12),0.472760 (12),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
897134,cimat-gto,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.663333 (10),0.695804 (3),0.679181 (5),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
897121,DanHv94,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.535000 (13),0.687366 (4),0.601687 (9),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
896301,JAGD,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.665000 (9),0.676271 (5),0.670588 (6),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
896960,xjywing,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.888333 (2),0.341667 (11),0.493519 (11),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
891293,JuanCalderon,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.673333 (8),0.696552 (2),0.684746 (4),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
889652,vic_gomez,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.760000 (5),0.653295 (7),0.702619 (3),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
885623,Timen,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.600000 (12),0.608108 (8),0.604027 (8),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
883020,hugo.jair,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.270000 (14),0.270000 (14),0.270000 (14),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
