submission_pk,User,F1,Accuracy,Precision,Recall
787460,mohamedgabr96,0.2352 (1),0.3906 (1),0.3165 (2),0.2164 (1),
767604,abdelkader,0.2159 (2),0.3656 (2),0.2690 (3),0.2042 (2),
785948,anshul.wadhawan,0.2101 (3),0.3506 (3),0.3214 (1),0.1890 (3),
780025,Aicha.Zitouni,0.1630 (4),0.2660 (4),0.2277 (4),0.1482 (4),
758901,khaled,0.1247 (5),0.2004 (5),0.1342 (5),0.1290 (5),
