submission_pk,User,mAP,AP50,AP75,AR1,AR10
493778,Jono,0.467 (1),0.697 (1),0.509 (1),0.462 (1),0.537 (2),
493759,foolwood,0.457 (2),0.674 (3),0.490 (3),0.435 (5),0.507 (4),
493754,bellejuillet,0.450 (3),0.636 (5),0.502 (2),0.447 (3),0.503 (5),
493744,linhj,0.449 (4),0.665 (4),0.486 (5),0.453 (2),0.538 (1),
493753,mingmingdiii,0.444 (5),0.684 (2),0.487 (4),0.436 (4),0.508 (3),
493774,xiAaonice,0.400 (6),0.578 (9),0.449 (6),0.396 (9),0.452 (9),
493742,guwop,0.400 (7),0.608 (7),0.439 (8),0.412 (7),0.491 (6),
493755,exing,0.397 (8),0.621 (6),0.426 (9),0.414 (6),0.461 (8),
493751,player1,0.393 (9),0.606 (8),0.444 (7),0.409 (8),0.472 (7),
493781,TeamXu,0.339 (10),0.549 (13),0.384 (10),0.364 (10),0.404 (11),
493756,jefxiong,0.337 (11),0.527 (17),0.361 (13),0.348 (13),0.407 (10),
493747,QinglinLu,0.333 (12),0.530 (16),0.365 (11),0.346 (14),0.398 (13),
493772,Team_abc,0.332 (13),0.554 (10),0.356 (14),0.345 (16),0.389 (14),
493780,TeamJ,0.331 (14),0.537 (14),0.364 (12),0.361 (11),0.401 (12),
493803,JLU_thunder,0.327 (15),0.553 (12),0.311 (18),0.348 (12),0.389 (15),
493796,jlu-net,0.327 (15),0.553 (12),0.311 (18),0.348 (12),0.389 (15),
493761,XuShower,0.326 (16),0.522 (18),0.347 (15),0.333 (18),0.382 (16),
493793,Yiming_Lin,0.325 (17),0.553 (11),0.333 (16),0.346 (15),0.382 (17),
493787,changchaoqun,0.325 (18),0.536 (15),0.333 (17),0.340 (17),0.381 (18),
