submission_pk,User,F1,Precision,Recall
337191,agrigorev,0.2152353421 (9),0.4685358255 (1),0.1397068386 (20),
334401,bendyna,0.4182668356 (1),0.3949296890 (2),0.4445352704 (2),
337831,ytay2,0.4032624610 (3),0.3903826087 (3),0.4170211975 (5),
337671,dremovd,0.4160741136 (2),0.3899307219 (4),0.4459750683 (1),
336951,ls,0.3795929982 (5),0.3751542202 (5),0.3841380720 (7),
337921,ytay017,0.3999442657 (4),0.3666166089 (6),0.4399372062 (3),
336511,congminh91,0.3793313233 (6),0.3658492389 (7),0.3938450963 (6),
337621,viktor,0.3324264620 (7),0.3328645537 (8),0.3319895220 (9),
338101,tttzof351,0.0176586477 (30),0.3256666667 (9),0.0090753711 (30),
336391,namkhanhtran,0.2931994885 (8),0.2198999568 (10),0.4397978710 (4),
335751,kdqzzxxcc,0.1784459142 (10),0.1421611314 (11),0.2396009438 (12),
331662,hxiao,0.1713891151 (11),0.1285420353 (12),0.2570828766 (10),
282721,Optimus_Prime,0.1661129362 (12),0.1245848951 (13),0.2491686328 (11),
336851,aledovsky,0.1527552862 (13),0.1145666421 (14),0.2291322199 (13),
279281,mehdiesadri,0.1160135385 (14),0.0982936034 (15),0.1415274862 (18),
292031,passick,0.1131640069 (15),0.0948231483 (16),0.1403013358 (19),
331241,ssh1,0.1095116748 (16),0.0821338832 (17),0.1642670035 (14),
284071,konstantind,0.1082796631 (17),0.0812099988 (18),0.1624184889 (15),
276081,Aleksandr.Dzhumurat,0.1081991578 (18),0.0811496196 (19),0.1622977316 (16),
337451,mariofilho,0.1009100170 (19),0.0756826299 (20),0.1513645568 (17),
333511,melnikov,0.0869578680 (20),0.0652185020 (21),0.1304363981 (21),
323271,dmml,0.0866234623 (21),0.0649676973 (22),0.1299347911 (22),
331821,menshikh.iv,0.0738107697 (22),0.0553581630 (23),0.1107158118 (24),
277271,Universal,0.0643545196 (24),0.0482659644 (24),0.0965314805 (25),
322121,marvin,0.0564032698 (25),0.0423025833 (25),0.0846043807 (26),
268931,cikmcup2016_baseline,0.0563846916 (26),0.0422886496 (26),0.0845765136 (27),
270821,DataGeek,0.0563846916 (26),0.0422886496 (26),0.0845765136 (27),
278151,limexp,0.0563846916 (26),0.0422886496 (26),0.0845765136 (27),
280981,dzxw,0.0563846916 (26),0.0422886496 (26),0.0845765136 (27),
284451,manaswiv,0.0563846916 (26),0.0422886496 (26),0.0845765136 (27),
321711,Wasil,0.0563846916 (26),0.0422886496 (26),0.0845765136 (27),
321841,DL,0.0563846916 (26),0.0422886496 (26),0.0845765136 (27),
286191,Den4ik,0.0560626703 (27),0.0420471329 (27),0.0840934847 (28),
272551,a9108,0.0665457228 (23),0.0367025534 (28),0.3560666580 (8),
299711,alexeykuklin,0.0397813348 (28),0.0290824956 (29),0.0629331005 (29),
336981,sht3ch,0.0356031088 (29),0.0209186238 (30),0.1194660672 (23),
338041,sswt,0.0102733927 (31),0.0158147798 (31),0.0076077062 (31),
326741,henderake,0.0046631017 (32),0.0034973317 (32),0.0069946309 (32),
322781,mommi84,0.0036289211 (33),0.0027216951 (33),0.0054433649 (33),
332181,vinayaka,0.0007496013 (34),0.0026484842 (34),0.0004365839 (34),
335441,xjSJTU,0.0001672029 (35),0.0001254023 (35),0.0002508035 (35),
285101,DarshanMS,0.0000123854 (36),0.0000092891 (36),0.0000185780 (36),
279391,vfedorenko,0.0000000000 (37),0.0000000000 (37),0.0000000000 (37),
289131,tjy,0.0000000000 (37),0.0000000000 (37),0.0000000000 (37),
324261,Nefrid,0.0000000000 (37),0.0000000000 (37),0.0000000000 (37),
333741,wuliang211,0.0000000000 (37),0.0000000000 (37),0.0000000000 (37),
