submission_pk,User,F1
510152,whitehair,0.9632 (1),
509195,VOLODYMYRVRAGOV2019,0.9616 (2),
509089,ANTONBIRYUKOV2019,0.9613 (3),
510445,MeisamHeidari,0.9205 (4),
510192,rojay16,0.9107 (5),
510408,mghane,0.9103 (6),
509033,KEENANVINEYUE2019,0.8905 (7),
508680,BRIANNATAYLORUE2019,0.8476 (8),
509707,bensalekue2019,0.8045 (9),
510120,STANLEYKAKANATTILUE2019,0.7607 (10),
