submission_pk,User,wer
603779,Anonymous,15.67 (1),
603417,Anonymous,17.06 (2),
601580,Anonymous,17.79 (3),
602369,Anonymous,18.71 (4),
603786,Anonymous,22.34 (5),
603361,Anonymous,23.24 (6),
598996,Anonymous,35.09 (7),
601951,Anonymous,36.73 (8),
