submission_pk,User,Macro-F,Accuracy
621733,t.romani,0.607 (1),0.848 (1),
622041,guster,0.593 (2),0.831 (2),
624957,accg14,0.550 (3),0.798 (4),
622088,trinidadg,0.536 (4),0.806 (3),
624433,premjithb,0.393 (5),0.716 (5),
627626,garain,0.366 (6),0.599 (6),
625259,FACT_baseline,0.246 (7),0.524 (7),
