submission_pk,User,RuSemShift1 (pre-Soviet:Soviet),RuSemShift2 (Soviet:post-Soviet),RuSemShift3 (pre-Soviet:post-Soviet),Average score
784399,akutuzov,0.920 (1),0.933 (1),0.000 (1),0.927 (1),
787480,aryzhova,0.471 (2),0.564 (2),0.000 (1),0.517 (2),
