submission_pk,User,Accuracy,F-score,MRR,MAP
187731,andrew.finch,0.6958 (1),0.9466 (1),0.7952 (1),0.6799 (1),
183991,amirhj,0.5816 (2),0.9267 (2),0.7116 (2),0.5673 (2),
181111,hcs,0.5029 (3),0.9104 (3),0.5029 (3),0.4678 (3),
