submission_pk,User,Mean-Average-Precision,Average-Precision,R-Precision,Reciprical-Rank,Precision@3,Precision@5,Precision@10
879318,maramhasanain,0.737 (1),0.737 (1),0.632 (1),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
877037,ibaris,0.673 (2),0.673 (2),0.605 (2),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
877660,sshaar,0.588 (3),0.588 (3),0.474 (3),1.000 (1),1.000 (1),1.000 (1),0.900 (2),
875951,EvanUp,0.497 (4),0.497 (4),0.474 (3),1.000 (1),1.000 (1),0.800 (2),0.700 (3),
875929,msaidzengin,0.149 (5),0.149 (5),0.039 (4),0.143 (2),0.000 (2),0.000 (3),0.200 (4),
