submission_pk,User,DER,JER
965753,strato,5.0726 (1),29.1640 (20),
966120,chen2101,5.1455 (2),26.0231 (6),
965124,njz,5.3162 (3),24.5044 (3),
966079,Rhinos,5.3685 (4),25.3637 (5),
964879,xakbz,5.5380 (5),27.5347 (9),
964717,TK,5.5434 (6),25.3164 (4),
963050,qyhong,5.5452 (7),27.1181 (7),
966201,shengyu,5.8145 (8),27.9022 (12),
965872,gmh2020,5.9276 (9),29.0367 (16),
965348,sgspk,5.9802 (10),29.0719 (17),
964536,fxi,6.0123 (11),29.0746 (18),
964966,fbdp1202,6.0755 (12),27.4140 (8),
964153,ss1010,6.0824 (13),29.0900 (19),
964168,SVD,6.1262 (14),28.7607 (14),
964937,oopsbbada,6.1673 (15),27.9596 (13),
964192,deg,6.1756 (16),29.0130 (15),
965245,dongkeon,6.2537 (17),27.8103 (10),
966076,chl2,6.4137 (18),27.8747 (11),
964023,KyeongWan_Park,7.6228 (19),23.7574 (2),
961659,lbjcom,8.7238 (20),31.3749 (23),
962649,YannisTevissen,9.2931 (21),34.5082 (24),
964957,GREAT_SHU,9.6446 (22),30.1059 (21),
964302,flycat,11.0693 (23),31.3520 (22),
957720,Mintcat,12.3043 (24),23.6005 (1),
951029,vgg_oxford,17.9946 (25),38.7221 (25),
953250,scalfs,25.0201 (26),64.4333 (26),
964232,speaker_voice,39.5612 (27),74.4994 (27),
965684,sst_ai,40.7665 (28),79.3344 (28),
963123,ynona_olga,100.0000 (29),100.0000 (29),
