submission_pk,User,BLEU
937384,CSS_TSC,29.0 (1),
937412,JeonghyeokPark,26.7 (2),
933925,kaiyuhuang,21.8 (3),
935098,istic-team,19.2 (4),
935138,shivammhaskar,17.2 (5),
933391,biswajitpaul,16.5 (6),
