submission_pk,User,Pearson r,MAE,RMSE
651743,NiuTrans,0.5621 (1),0.5579 (11),0.6760 (6),
652362,tharindu,0.5539 (2),0.6126 (12),0.7395 (12),
646476,ssun32,0.5443 (3),0.4507 (1),0.6162 (1),
652543,Joao1996,0.5228 (4),0.4700 (4),0.6348 (3),
645808,zaemyung,0.4983 (5),0.4538 (2),0.6370 (5),
651618,TMUOU,0.4823 (6),0.4551 (3),0.6248 (2),
652136,LisaIan,0.4760 (7),0.4831 (5),0.6364 (4),
644470,xc2019,0.4645 (8),0.7387 (17),0.8607 (15),
718053,Uqe,0.4413 (9),0.6554 (14),0.7861 (14),
617270,zhanghuimeng,0.3917 (10),0.7154 (16),0.9641 (17),
652475,ddk,0.2667 (11),0.5245 (8),0.6827 (9),
651937,mfomicheva,0.2587 (12),0.8186 (19),0.9396 (16),
652671,mhkane_225,0.2525 (13),0.5274 (9),0.6826 (8),
621299,DexinWang,0.2455 (14),0.5032 (7),0.6795 (7),
728157,bicici,0.2289 (15),0.6319 (13),0.7754 (13),
632769,Hancheng_Deng,0.1707 (16),0.4895 (6),0.7256 (11),
600501,fblain,0.1455 (17),0.6791 (15),0.9670 (18),
651956,leizhou,0.1109 (18),0.8052 (18),1.0625 (19),
678716,jxnu_hxm,0.0940 (19),0.5481 (10),0.7000 (10),
