submission_pk,User,Pearson r,MAE,RMSE
651751,NiuTrans,0.8331 (1),0.5607 (6),0.7159 (8),
650272,ssun32,0.8260 (2),0.4272 (1),0.5401 (1),
652499,tharindu,0.8240 (3),0.4851 (2),0.6035 (2),
678599,jxnu_hxm,0.7928 (4),0.5541 (5),0.6902 (6),
651633,TMUOU,0.7917 (5),0.4929 (3),0.6356 (3),
652641,Joao1996,0.7703 (6),0.7398 (9),0.9194 (10),
642517,xc2019,0.7643 (7),0.7451 (10),0.9064 (9),
652477,ddk,0.6898 (8),0.5314 (4),0.6524 (4),
652196,LisaIan,0.6809 (9),0.5648 (7),0.6822 (5),
651967,mfomicheva,0.6419 (10),0.9175 (11),1.0964 (11),
652676,mhkane_225,0.6374 (11),0.5669 (8),0.7140 (7),
600505,fblain,0.4770 (12),0.9176 (12),1.1382 (12),
916884,bicici,0.3245 (13),2.1513 (13),2.5509 (13),
