submission_pk,User,score,EN,ET,HR,FI,SL
577143,bicici,0.877 (1),0.877 (1),0.0 (1),0.728 (1),0.000 (1),0.747 (1),
574592,dloureiro,0.667 (2),0.667 (2),0.0 (1),0.434 (2),0.000 (1),0.727 (2),
570638,nlp_2017,0.657 (3),0.657 (3),0.0 (1),0.000 (3),0.000 (1),0.000 (3),
