submission_pk,User,ExecutionTime,Forward AUC,Reverse AUC,Bidirectional AUC
9111,jose.fonollosa,1890.75 (4),0.831516 (1),0.821310 (1),0.826413 (1),
9071,wzhang009,1057.17 (3),0.821189 (2),0.814409 (2),0.817799 (2),
9121,david.lopez.paz,316.24 (2),0.718142 (3),0.720575 (3),0.719359 (3),
9101,aiolli,3343.26 (5),0.679862 (4),0.667509 (4),0.673685 (4),
9143,reference,289.64 (1),0.574120 (5),0.584624 (5),0.579372 (5),
