submission_pk,User,Accuracy,F-score,MRR,MAP
459844,saeednajafi,0.0010 (1),0.2034 (3),0.0051 (1),0.0010 (1),
460647,soumyadeep,0.0010 (1),0.2145 (1),0.0010 (3),0.0010 (1),
460539,romang,0.0010 (1),0.2111 (2),0.0044 (2),0.0010 (1),
