submission_pk,User,QAC,PAC
486802,ewrfcas,85.67211 (1),43.60000 (1),
487039,sixEstates,83.84176 (2),36.60000 (2),
486809,RichardRui,83.42846 (3),36.40000 (3),
486933,Decalogue,78.07518 (4),24.60000 (4),
487033,huifei,76.69750 (5),13.60000 (8),
487090,wyxlzsq,75.89057 (6),16.60000 (5),
486346,ndsc01,75.33950 (7),14.40000 (7),
487016,X-X,75.10333 (8),15.40000 (6),
487010,niji123,74.41449 (9),12.40000 (10),
487102,nkuzhangyi,73.01712 (10),13.40000 (9),
486789,HelloNil,72.87935 (11),11.00000 (12),
486813,berton,71.40327 (12),11.60000 (11),
486427,luckyboys,71.26550 (13),10.80000 (13),
485371,CMRC_2019,70.00590 (14),8.20000 (15),
486853,HKP,68.90376 (15),9.80000 (14),
486651,renxingkai,68.45109 (16),8.00000 (16),
