submission_pk,User,norec,multibooked_ca,multibooked_eu,opener_en,opener_es,mpqa,darmstadt_unis,Average score
1087590,zhixiaobao,0.529 (2),0.728 (1),0.739 (1),0.760 (2),0.722 (4),0.447 (1),0.494 (1),0.631 (1),
1087522,Cong666,0.524 (3),0.728 (1),0.739 (1),0.763 (1),0.742 (1),0.416 (2),0.485 (2),0.628 (2),
1084168,gmorio,0.533 (1),0.709 (3),0.715 (3),0.756 (3),0.732 (3),0.402 (3),0.463 (4),0.616 (3),
1088037,colorful,0.497 (5),0.678 (6),0.723 (2),0.745 (4),0.735 (2),0.375 (6),0.380 (12),0.590 (4),
1088299,whu_stone,0.483 (9),0.711 (2),0.681 (6),0.727 (6),0.686 (7),0.379 (4),0.373 (13),0.577 (5),
1089663,QiZhang,0.496 (6),0.684 (5),0.686 (5),0.679 (10),0.623 (12),0.377 (5),0.476 (3),0.575 (6),
1086615,KE_AI,0.483 (9),0.711 (2),0.681 (6),0.727 (6),0.686 (7),0.364 (8),0.373 (13),0.575 (6),
1087825,Fadi,0.488 (7),0.699 (4),0.701 (4),0.730 (5),0.700 (5),0.245 (22),0.394 (11),0.565 (7),
1118210,lys_acoruna,0.462 (10),0.653 (8),0.680 (7),0.698 (9),0.692 (6),0.349 (10),0.414 (8),0.564 (8),
1080834,luxinyu,0.487 (8),0.658 (7),0.651 (9),0.710 (7),0.669 (8),0.269 (20),0.416 (7),0.551 (9),
1086586,rafalposwiata,0.459 (11),0.650 (9),0.653 (8),0.670 (11),0.663 (9),0.326 (13),0.395 (10),0.545 (10),
1087595,evanyfyang,0.213 (24),0.635 (12),0.639 (10),0.703 (8),0.642 (10),0.350 (9),0.449 (5),0.519 (11),
1086482,robvanderg,0.366 (13),0.648 (10),0.605 (11),0.632 (14),0.614 (14),0.296 (16),0.344 (14),0.501 (12),
1132457,sadra-barikbin,0.347 (15),0.639 (11),0.605 (11),0.620 (17),0.631 (11),0.266 (21),0.289 (21),0.485 (13),
1088267,psarangi,0.343 (16),0.634 (13),0.559 (12),0.634 (13),0.595 (15),0.283 (18),0.320 (18),0.481 (14),
1087589,chx.dou,0.395 (12),0.583 (14),0.506 (13),0.626 (15),0.622 (13),0.309 (15),0.280 (22),0.474 (15),
1087659,zaizhep,0.329 (17),0.525 (15),0.478 (16),0.623 (16),0.539 (17),0.367 (7),0.342 (15),0.458 (16),
1087450,janpf,0.280 (21),0.517 (17),0.439 (18),0.651 (12),0.504 (19),0.338 (11),0.417 (6),0.449 (17),
1088203,etms.kgp,0.351 (14),0.508 (18),0.438 (19),0.626 (15),0.544 (16),0.327 (12),0.330 (17),0.446 (18),
1132009,septieme,0.294 (20),0.497 (19),0.355 (25),0.607 (18),0.518 (18),0.315 (14),0.331 (16),0.417 (19),
1120632,bhushangolani,0.314 (19),0.478 (21),0.435 (20),0.576 (19),0.497 (20),0.294 (17),0.304 (20),0.414 (20),
1083696,jylong,0.323 (18),0.474 (22),0.504 (14),0.476 (20),0.375 (25),0.274 (19),0.223 (24),0.379 (21),
1083546,ouzh,0.323 (18),0.474 (22),0.504 (14),0.476 (20),0.375 (25),0.274 (19),0.223 (24),0.378 (22),
1085225,lucasrafaelc,0.270 (22),0.521 (16),0.463 (17),0.452 (21),0.427 (23),0.217 (23),0.242 (23),0.370 (23),
1071779,foodchup,0.265 (23),0.493 (20),0.491 (15),0.415 (23),0.480 (22),0.149 (24),0.139 (28),0.347 (24),
1120628,gaumo62,0.343 (16),0.322 (27),0.427 (21),0.313 (28),0.488 (21),0.000 (30),0.210 (25),0.300 (25),
1088336,jzh1qaz,0.186 (28),0.431 (23),0.385 (22),0.381 (25),0.393 (24),0.094 (25),0.092 (30),0.280 (26),
1087358,hades_d,0.504 (4),0.678 (6),0.000 (28),0.000 (30),0.000 (30),0.375 (6),0.400 (9),0.280 (26),
1120697,subhendukhatuya,0.212 (25),0.342 (24),0.377 (23),0.412 (24),0.307 (27),0.007 (29),0.183 (26),0.263 (27),
1082722,huyenbui117,0.194 (26),0.341 (25),0.374 (24),0.316 (27),0.245 (29),0.009 (28),0.053 (31),0.219 (28),
1081729,karun842002,0.191 (27),0.323 (26),0.331 (26),0.306 (29),0.257 (28),0.015 (27),0.104 (29),0.218 (29),
1088256,gerarld,0.000 (29),0.269 (28),0.303 (27),0.354 (26),0.321 (26),0.019 (26),0.180 (27),0.207 (30),
1120664,NLP_SABY,0.000 (29),0.000 (29),0.000 (28),0.449 (22),0.000 (30),0.000 (30),0.000 (32),0.064 (31),
1086064,michael_wzhu91,0.000 (29),0.000 (29),0.000 (28),0.000 (30),0.000 (30),0.000 (30),0.306 (19),0.044 (32),
1120538,samikd,0.000 (29),0.000 (29),0.000 (28),0.000 (30),0.000 (30),0.000 (30),0.000 (32),0.000 (33),
1087743,normalkim,0.000 (29),0.000 (29),0.000 (28),0.000 (30),0.000 (30),0.000 (30),0.000 (32),0.000 (33),
1082765,UniParma,0.000 (29),0.000 (29),0.000 (28),0.000 (30),0.000 (30),0.000 (30),0.000 (32),0.000 (33),
1080805,whu_venti,0.000 (29),0.000 (29),0.000 (28),0.000 (30),0.000 (30),0.000 (30),0.000 (32),0.000 (33),
submission_pk,User,EN-ES,EN-CA,EN-EU,Average score
1118210,lys_acoruna,0.670 (1),0.647 (2),0.649 (2),0.655 (1),
1087522,Cong666,0.644 (2),0.643 (3),0.632 (3),0.640 (2),
1089663,QiZhang,0.551 (10),0.667 (1),0.685 (1),0.635 (3),
1080834,luxinyu,0.620 (4),0.605 (5),0.569 (4),0.598 (4),
1084168,gmorio,0.628 (3),0.607 (4),0.527 (5),0.587 (5),
1088299,whu_stone,0.604 (6),0.596 (6),0.512 (8),0.571 (6),
1087825,Fadi,0.589 (7),0.593 (7),0.516 (7),0.566 (7),
1088037,colorful,0.620 (4),0.543 (11),0.527 (5),0.563 (8),
1087358,hades_d,0.617 (5),0.544 (10),0.522 (6),0.561 (9),
1086586,rafalposwiata,0.564 (8),0.586 (8),0.444 (11),0.531 (10),
1086615,KE_AI,0.561 (9),0.552 (9),0.463 (10),0.525 (11),
1088203,etms.kgp,0.542 (11),0.506 (12),0.431 (12),0.493 (12),
1120628,gaumo62,0.514 (13),0.436 (15),0.423 (13),0.457 (13),
