submission_pk,User,top-5 accuracy,top-1 accuracy
457074,kivajok,73.86 (1),50.11 (1),
454561,qwang,71.63 (2),47.98 (2),
460692,rfsantacruz,69.63 (3),45.67 (3),
463978,leobin,0.09 (4),0.01 (4),
