submission_pk,User,min t-DCF,EER
1064253,Anonymous,0.2780 (1),3.54 (1),
1144492,Anonymous,0.2987 (2),4.83 (2),
1056459,Anonymous,0.3641 (8),6.60 (3),
1042153,Anonymous,0.3382 (4),6.75 (4),
1147683,Anonymous,0.3715 (11),6.80 (5),
1142166,Anonymous,0.3490 (7),7.50 (6),
980123,Anonymous,0.3687 (10),7.67 (7),
1147840,Anonymous,0.4004 (12),7.87 (8),
1066169,Anonymous,0.3451 (6),8.98 (9),
977271,Anonymous,0.3445 (5),9.26 (10),
1076619,Anonymous,0.3651 (9),9.41 (11),
977282,Anonymous,0.4257 (15),9.50 (12),
1065709,Anonymous,0.4187 (14),9.97 (13),
1038903,Anonymous,0.4186 (13),10.17 (14),
1037644,Anonymous,0.3015 (3),11.20 (15),
977256,Anonymous,0.4931 (16),15.54 (16),
1006759,Anonymous,0.5700 (18),17.01 (17),
977264,Anonymous,0.5758 (19),19.30 (18),
1110824,Anonymous,0.5064 (17),20.66 (19),
1108108,Anonymous,0.7948 (20),29.47 (20),
1107614,Anonymous,0.8996 (22),32.46 (21),
1104024,Anonymous,0.8385 (21),36.14 (22),
984142,Anonymous,0.9901 (23),47.52 (23),
1057839,Anonymous,1.0000 (24),51.84 (24),
991542,Anonymous,1.0000 (24),80.43 (25),
