submission_pk,User,mAP
423389,xiaolonw,0.3950 (1),
410822,joaoluis,0.3441 (2),
410794,gurkirtsingh,0.2974 (3),
410827,stroud,0.2811 (4),
410543,joeyhng,0.2535 (5),
410839,myunggi,0.2278 (6),
410681,JueWang,0.2238 (7),
410825,sjson718,0.2185 (8),
410612,Mahdi,0.2146 (9),
410668,rohitg,0.1619 (10),
406491,YajieGuan,0.1493 (11),
410766,xiaobai,0.0000 (12),
submission_pk,User,mAP
410822,joaoluis,0.2072 (1),
410827,stroud,0.1803 (2),
410794,gurkirtsingh,0.1796 (3),
410543,joeyhng,0.1396 (4),
410766,xiaobai,0.1336 (5),
410825,sjson718,0.1065 (6),
406491,YajieGuan,0.0000 (7),
410612,Mahdi,0.0000 (7),
410668,rohitg,0.0000 (7),
410681,JueWang,0.0000 (7),
410839,myunggi,0.0000 (7),
423389,xiaolonw,0.0000 (7),
