submission_pk,User,Prediction score,Duration
727143,shmakn,13.93 (1),0.00 (1),
726346,cadurosar,9.99 (2),0.00 (1),
719218,sumukhaithal6,9.17 (3),0.00 (1),
727311,neckarmueller,6.39 (4),0.00 (1),
718884,smeznar,5.94 (5),0.00 (1),
726476,LinZhang,5.60 (6),0.00 (1),
727306,kushaltirumala,4.66 (7),0.00 (1),
727559,Vashisht,4.01 (8),0.00 (1),
723181,simonc,3.91 (9),0.00 (1),
726944,vamshichowdary,3.40 (10),0.00 (1),
725902,yairschiff,2.92 (11),0.00 (1),
718439,ido.benshaul,2.65 (12),0.00 (1),
721387,AllenZhang,2.61 (13),0.00 (1),
726189,DepenM,2.50 (14),0.00 (1),
726753,valexiev,2.48 (15),0.00 (1),
727020,isLab,2.00 (16),0.00 (1),
724626,egyptdj,1.80 (17),0.00 (1),
726750,JamesLee,1.27 (18),0.00 (1),
722546,sheepfriend,1.18 (19),0.00 (1),
727280,samiul,0.99 (20),0.00 (1),
725845,agustin-martin.picard,0.83 (21),0.00 (1),
718616,equation,0.64 (22),0.00 (1),
719361,VikramjeetD,0.64 (23),0.00 (1),
725039,mostafa00791,0.00 (24),0.00 (1),
