submission_pk,User,Accuracy
862198,gusenica,73.6248 (1),
896246,matveymor,73.3690 (2),
868513,annakey,73.3690 (2),
895144,eplumite,73.2411 (3),
867623,daleshch,73.1364 (4),
867773,Allessyer,72.8340 (5),
866505,ag3r,72.7178 (6),
866246,Glebzok,72.5782 (7),
867536,Artem_Vazhentsev,72.4735 (8),
867376,vvshu,71.8688 (9),
865763,maxs_kan,71.4618 (10),
865117,underdog,71.2176 (11),
867205,queen_s0,71.2060 (12),
866652,player42,71.0548 (13),
865231,timotei.ardelean,71.0548 (13),
867524,andreead,69.9384 (14),
867496,NEEEK,69.8104 (15),
869007,truepg,69.4150 (16),
868371,ekovtun,69.2639 (17),
869010,eugeneavd,69.2057 (18),
862104,Daniil_Moskovskiy,68.2754 (19),
867627,mariya,67.9265 (20),
893222,A_a,67.4613 (21),
865845,gabriel_r,67.4148 (22),
866542,Ekaterina,66.7636 (23),
866718,ruslan_alive,65.4030 (24),
866410,dkorzh10,64.4261 (25),
867419,kmisterios,62.7399 (26),
862463,palette_knife25,57.2508 (27),
850278,lilaspourpre,50.7036 (28),
