submission_pk,User,Prediction
563788,malkin,0.7073 (1),
561938,calebrob6,0.7043 (2),
562727,Pineapples,0.7021 (3),
563506,sjliu68,0.6930 (4),
563665,mcch,0.6915 (5),
564099,WHU_YuXia,0.6859 (6),
563970,Nincaqlibadan,0.6848 (7),
563372,Indodaemangazayo,0.6818 (8),
563300,dfchen,0.6804 (9),
563146,DADA,0.6802 (10),
563490,yst,0.6798 (11),
563325,Ag2S,0.6783 (12),
563910,ZhouXiaobo,0.6671 (13),
562419,BurningAllthing,0.6463 (14),
563148,byrne,0.6451 (15),
562284,Iamback,0.6384 (16),
563374,jinitaimei,0.6368 (17),
564136,Stochastic,0.6343 (18),
562397,Chloe,0.6310 (19),
562160,Kullervo,0.6283 (20),
561194,whatbarren,0.6266 (21),
560476,Antonia,0.6203 (22),
562408,zhendeniupi,0.6201 (23),
563862,ghost,0.6158 (24),
560895,HZH,0.6105 (25),
561031,zhusihan,0.6005 (26),
558281,HDQ,0.5933 (27),
556749,QZL,0.5616 (28),
557837,AU,0.5374 (29),
563930,fw906516938,0.5329 (30),
562439,jie007,0.5329 (31),
560546,XDU_RenYan,0.5296 (32),
563870,wangyan0802,0.5260 (33),
557992,Noobmaster,0.5191 (34),
560126,LiYanPeng,0.5010 (35),
560251,ytyang,0.4942 (36),
564154,Yuki,0.4941 (37),
548921,wuyongfa,0.4927 (38),
557767,LLP,0.4920 (39),
545658,EVER,0.4837 (40),
563424,ly59782,0.4749 (41),
555327,yujia,0.4696 (42),
544213,asaro92,0.4613 (43),
547947,Roshan,0.4563 (44),
557730,PKU_THU_Sensetime_RS,0.4550 (45),
559660,xduyzy,0.4544 (46),
557246,__sudoku__,0.4493 (47),
557248,tuananh1007,0.4493 (48),
558931,mushroom1,0.4475 (49),
561207,wjh,0.4326 (50),
549394,Ab,0.4317 (51),
561155,yr,0.4317 (52),
559909,g8,0.4280 (53),
561397,leiqi,0.4190 (54),
561229,SHENGZI,0.4164 (55),
550210,PuJiang_Liang,0.4068 (56),
561939,zhangdi,0.4064 (57),
535919,JQJ,0.3894 (58),
559722,WillChan,0.3888 (59),
556965,shirly,0.3747 (60),
559319,lynn,0.3724 (61),
536330,wangyao,0.3724 (61),
542417,teteup,0.3669 (62),
554420,lucashu1,0.3557 (63),
559642,fangbauzhu,0.2662 (64),
547231,zqiqi,0.1963 (65),
542742,daveluo,0.1510 (66),
558778,facename,0.1106 (67),
535530,Lunhao,0.0291 (68),
542946,mengqiqi,0.0096 (69),
