submission_pk,User,Prediction score,Duration
767455,huangzhm,0.92 (5),0.00 (1),
765511,xiaoya27,0.90 (7),0.00 (1),
765255,roby10,0.81 (13),0.00 (1),
762489,Ousmane,0.87 (8),0.00 (1),
762442,MHAMDI_Sami,0.47 (20),0.00 (1),
762438,HongyiYUE,0.47 (19),0.00 (1),
760598,Thibaut,0.94 (4),0.00 (1),
762424,Boyu_Zhu,0.49 (18),0.00 (1),
762402,mykola_liashuha,0.86 (10),0.00 (1),
762334,Paavo,0.25 (22),0.00 (1),
761893,camkzl,0.25 (22),0.00 (1),
761856,mdsalem17,0.82 (12),0.00 (1),
761452,theboxtroll5,0.91 (6),0.00 (1),
761750,xavibou,0.96 (2),0.00 (1),
761423,ihsanullah2131,0.87 (9),0.00 (1),
761346,coucoulico,0.25 (22),0.00 (1),
760813,JonathanC,0.57 (16),0.00 (1),
760497,eric_saga,0.58 (15),0.00 (1),
760232,moha3lans,0.82 (11),0.00 (1),
760121,phanav,0.95 (3),0.00 (1),
759370,llamalle,0.63 (14),0.00 (1),
758835,RomainJ,0.34 (21),0.00 (1),
755541,guochangzhang,0.25 (22),0.00 (1),
754175,AlbertoAlgarra,0.96 (1),0.00 (1),
750204,acrulopez,0.50 (17),0.00 (1),
748932,shago,0.25 (22),0.00 (1),
747861,pavao,0.25 (22),0.00 (1),
