submission_pk,User,Challenge Score,Brain Regions,Brain Regions,Brain Regions,Brain Regions,Brain Regions,Brain Regions,Brain Regions,Brain Regions,Brain Regions
,Average,V1,V2,V3,V4,LOC,EBA,FFA,STS,PPA
957050,huze,0.7110 (1),0.6345 (1),,,,,,,,,,,
956531,bionn,0.6490 (2),0.5820 (2),,,,,,,,,,,
1093885,rogeld,0.6452 (3),0.5741 (4),,,,,,,,,,,
1135609,Ahmed_Ramadan,0.6209 (4),0.5691 (5),,,,,,,,,,,
957302,shinji,0.6208 (5),0.5816 (3),,,,,,,,,,,
956598,Hc33,0.5917 (6),0.5653 (6),,,,,,,,,,,
928686,rob_the_builder,0.5884 (7),0.5376 (8),,,,,,,,,,,
952403,Aakashagr,0.5843 (8),0.5276 (9),,,,,,,,,,,
957232,NeuBCI,0.5760 (9),0.5176 (11),,,,,,,,,,,
957266,arnenix,0.5715 (10),0.5146 (13),,,,,,,,,,,
954631,michaln,0.5710 (11),0.5504 (7),,,,,,,,,,,
951663,rematchka,0.5674 (12),0.5169 (12),,,,,,,,,,,
1058483,gustavo5s,0.5647 (13),0.4649 (14),,,,,,,,,,,
1047431,hanyeol,0.5512 (14),0.5260 (10),,,,,,,,,,,
924701,catchmeifyoucan,0.4571 (15),0.4128 (18),,,,,,,,,,,
1053654,hyundokim,0.4558 (16),0.4255 (17),,,,,,,,,,,
896336,ikeroulu,0.4527 (17),0.4104 (19),,,,,,,,,,,
955442,Mukesh,0.4521 (18),0.4427 (16),,,,,,,,,,,
956905,Aryan120804,0.4491 (19),0.4518 (15),,,,,,,,,,,
934832,sricharan92,0.4448 (20),0.3674 (21),,,,,,,,,,,
956682,lingfei,0.4397 (21),0.3806 (20),,,,,,,,,,,
915881,AlexNet-OrganizerBaseline,0.4198 (22),0.3478 (22),,,,,,,,,,,
