submission_pk,User,ARI
1036038,Jull-Or,1.0000 (1),
1033000,albertSayapin,1.0000 (1),
1031868,zlatamaria,1.0000 (1),
1036086,olya-const,0.9823 (2),
1043859,NadezhdaAlsahanova,0.6520 (3),
1039439,IskanderA,0.6520 (3),
1034130,AlexanderV,0.6520 (3),
1032463,SergeyPetrakov,0.6520 (3),
1032362,petr_sokerin,0.6520 (3),
1035437,NikitaBaramiia,0.6343 (4),
1035511,lilaspourpre,0.6278 (5),
