submission_pk,User,Score (C/D),ExecutionTime
846674,chenhan.,0.8492 (1),216.00 (23),
847112,yutongYao,0.8402 (2),204.00 (22),
847137,nbhh,0.8280 (3),77.00 (8),
845914,seanseattle,0.8010 (4),140.00 (20),
846072,Format,0.7583 (5),54.00 (1),
845999,wuxiaohan.,0.7462 (6),58.00 (3),
846390,DFGC_SYSU,0.7456 (7),111.00 (15),
845886,yzx835,0.7243 (8),260.00 (25),
846634,zhushiwei,0.7195 (9),157.00 (21),
847452,Tinyrosy0822,0.7123 (10),272.00 (26),
845414,mapLeNet,0.7034 (11),68.00 (6),
847433,pwb,0.6989 (12),72.00 (7),
847634,borutb,0.6899 (13),222.00 (24),
844554,jiashangplus,0.6812 (14),125.00 (17),
848251,yangquanwei,0.6783 (15),100.00 (13),
846981,yanliang,0.6649 (16),67.00 (5),
847838,lowtec,0.6434 (17),88.00 (12),
847799,menglaijin,0.6343 (18),86.00 (10),
848364,SJTU-H,0.6338 (19),136.00 (19),
847836,ctmiu,0.6290 (20),87.00 (11),
845098,Mr.Hey,0.6172 (21),57.00 (2),
847736,Shichuang_Xie,0.6117 (22),118.00 (16),
846770,lowtec,0.6071 (23),83.00 (9),
844232,organizer_baseline,0.6068 (24),86.00 (10),
844683,zDing,0.5967 (25),133.00 (18),
848578,wany,0.5661 (26),106.00 (14),
848449,flaber,0.4500 (27),60.00 (4),
