submission_pk,User,correct
928800,shan666,0.7073 (1),
905687,huangbo940326,0.7060 (2),
927880,kostadinov,0.7007 (3),
890489,BecomeBright,0.6965 (4),
928645,whoamiw,0.6801 (5),
921644,hli1221,0.6693 (6),
922602,WD_B402,0.6600 (7),
919135,guyu,0.6544 (8),
921631,Taokim,0.6523 (9),
921635,jinke,0.6503 (10),
921625,exception,0.6456 (11),
923646,oookitty,0.6419 (12),
928260,QLY,0.6334 (13),
926769,xjtudz,0.6311 (14),
917855,No.1,0.6266 (15),
922443,tangyuan23,0.6194 (16),
922403,JNU,0.6194 (16),
918930,leili,0.6172 (17),
924008,xjtuwh,0.6125 (18),
927405,YouKnowWhoAmI,0.6106 (19),
928408,Homura,0.6093 (20),
913579,lynn1234,0.5984 (21),
921251,jiang09,0.5617 (22),
928083,jjchen,0.5595 (23),
922438,last_one_one,0.5524 (24),
911967,OB.Baoge,0.5376 (25),
916541,ZhangyongTang,0.5314 (26),
922422,tobiichi_origami,0.5263 (27),
922431,rdy,0.5235 (28),
927691,Silverfall,0.5084 (29),
922416,plinky-plunky,0.4578 (30),
922425,tang_god,0.4511 (31),
922440,bigbigpig,0.3966 (32),
919718,neptuneai,0.3816 (33),
888556,Anti-UAV,0.3815 (34),
922407,yunjnu,0.3406 (35),
916552,zhaoxingjie,0.2460 (36),
