submission_pk,User,MinDCF,EER
599954,matejkap,0.0408 (1),1.41 (1),
599702,zxchen123,0.0450 (2),1.45 (2),
599801,david02,0.0469 (3),1.62 (4),
594223,jvillalba,0.0649 (4),1.58 (3),
631760,xmuspeech506,0.0714 (5),1.93 (5),
599056,sahid,0.0718 (6),2.10 (7),
599563,alumae,0.0757 (7),2.09 (6),
607091,SunghwanMun,0.0771 (8),2.18 (8),
602978,vivolab,0.0883 (9),2.56 (9),
598432,simonchik_k,0.0971 (10),3.30 (12),
597029,rasim.ulgen,0.1024 (11),2.92 (11),
576956,shanin.ivan,0.1194 (12),2.84 (10),
566064,zeinali,0.1472 (13),3.47 (13),
575654,Pochin,0.1508 (14),4.11 (14),
574149,localhost,0.1863 (15),4.89 (15),
602323,Richardfan,0.2441 (16),6.61 (23),
570414,pes_tc,0.2545 (17),6.37 (22),
565803,amberafshan,0.2595 (18),6.07 (19),
591387,huanhua,0.2687 (19),6.23 (20),
599154,chienlinhuang,0.2720 (20),5.75 (18),
597172,vijaysumaravi,0.2754 (21),6.27 (21),
569603,via1918,0.2786 (22),6.98 (24),
569605,sniff,0.2853 (23),7.25 (26),
571013,duguqiankun,0.2876 (24),7.47 (27),
543513,maulikmadhavi,0.3135 (25),7.03 (25),
570772,Sreekanth,0.3174 (26),5.71 (16),
571061,ddwe,0.3208 (27),8.66 (29),
570138,ee17resch01003,0.3212 (28),5.74 (17),
574325,meweve1701,0.3380 (29),8.52 (28),
574288,kejom62676,0.3473 (30),8.74 (30),
574255,saxaha4776,0.4044 (31),10.18 (36),
566004,hogot23284,0.4497 (32),10.89 (37),
599626,AAlvarez,0.4836 (33),13.37 (39),
602454,dintas,0.5077 (34),8.95 (31),
602277,sdsvc,0.5290 (35),9.05 (32),
629293,prash29,0.5349 (36),9.26 (33),
580098,leizhenchun,0.5352 (37),9.70 (34),
596622,NGteam,0.5487 (38),9.73 (35),
557433,zhangruiteng,0.7618 (39),12.79 (38),
570595,joanna,0.7764 (40),16.07 (41),
629654,divyeshrajpura,0.7948 (41),14.51 (40),
594464,HS,1.0000 (42),43.55 (42),
551142,day9011,1.0000 (42),50.05 (43),
