submission_pk,User,Loss
925986,TeamQ,0.2304 (1),
925658,___rf-baseline___,0.3000 (2),
926350,gherardo,0.6280 (3),
925655,___zero-baseline___,0.6280 (3),
926475,bartbussmann,0.6688 (4),
925657,___starter-kit-baseline___,0.6688 (4),
928622,ElephantSD,0.7176 (5),
