submission_pk,User,F1,Precision,Recall
1020877,WENGSYX,0.96 (1),0.95 (2),0.98 (1),
1020293,nithishkannen,0.96 (2),0.95 (3),0.97 (2),
1016249,LiSiheng,0.95 (3),0.95 (1),0.95 (3),
1018925,uyaseen,0.89 (4),0.89 (5),0.90 (4),
1019366,fazlfrs,0.81 (5),0.78 (7),0.84 (5),
1020020,dipteshkanojia,0.74 (6),0.78 (6),0.70 (6),
1019723,guneetsk99,0.60 (7),0.90 (4),0.45 (7),
1019758,TC_AI_Lab,0.07 (8),0.09 (8),0.06 (8),
