submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
447477,aad_freiburg,2.8000 (1),0.5533 (3),0.2839 (4),0.3932 (1),0.2635 (1),0.6766 (5),5980.43 (44),
445411,narnars0,3.8000 (2),0.5418 (5),0.2894 (2),0.3665 (2),0.2005 (9),0.6922 (1),4776.17 (40),
445489,Malik,5.4000 (3),0.5085 (7),0.2297 (7),0.2670 (6),0.2413 (5),0.6853 (2),3463.49 (39),
445425,wlWangl,5.4000 (3),0.5655 (2),0.4851 (1),0.2829 (5),-0.0886 (16),0.6840 (3),5767.32 (43),
445997,thanhdng,5.4000 (3),0.5131 (6),0.2256 (8),0.2605 (7),0.2603 (2),0.6777 (4),1620.79 (35),
447184,KaseyM,6.0000 (4),0.5749 (1),0.2571 (6),0.2864 (4),0.1956 (11),0.5790 (8),1293.39 (34),
447193,vn.sju,6.2000 (5),0.5467 (4),0.2858 (3),0.2482 (9),0.2428 (4),0.3795 (11),1745.87 (36),
447181,Joy,7.2000 (6),0.4613 (10),0.2031 (10),0.2567 (8),0.2603 (2),0.6294 (6),795.87 (32),
446275,hehe,8.0000 (7),0.4920 (8),0.2722 (5),0.3444 (3),0.0734 (14),0.4957 (10),5438.04 (41),
445417,ObserverL,8.8000 (8),0.4640 (9),0.2117 (9),0.1985 (11),0.2215 (8),0.6076 (7),434.49 (30),
445423,vctrop,8.8000 (8),0.4244 (11),0.1776 (11),0.2067 (10),0.2575 (3),0.5682 (9),842.87 (33),
512399,acletournel,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),227.24 (28),
507110,pavao,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),230.28 (29),
447188,cdutra,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),159.18 (21),
447169,JianZhang,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),157.18 (15),
447187,Grox,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),160.18 (24),
447165,finlouarn,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),157.17 (14),
447186,NeverMore,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),159.18 (22),
447170,thacdtd,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),157.18 (16),
447185,kopxiong,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),158.18 (19),
445436,datawlb,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),194.23 (27),
445440,quack,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),166.19 (26),
445421,tthomas63,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),164.19 (25),
445488,Phan,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),159.14 (20),
446017,mafnhe,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),158.18 (17),
446278,jingyunchoi,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),160.18 (23),
446279,coolshan008,11.0000 (9),0.2018 (12),0.1095 (12),0.1313 (13),0.2397 (6),0.2971 (12),158.18 (18),
447183,Kasey,11.2000 (10),0.2018 (12),0.1095 (12),0.1313 (13),0.2278 (7),0.2971 (12),482.43 (31),
