submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,56.90 (1),82.96 (1),128761.00 (1),52919.00 (1),9172.00 (1),8062.00 (1),4048.00 (1),5935.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,39.68 (1),76.63 (1),24194.00 (1),9270.00 (1),2493.00 (1),1125.00 (1),986.00 (1),1528.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,63.79 (1),83.70 (1),94185.00 (1),35658.00 (1),7108.00 (1),7068.00 (1),2617.00 (1),4415.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,13.44 (1),75.82 (1),3355.00 (1),964.00 (1),41.00 (1),40.00 (1),156.00 (1),92.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,38.68 (1),76.77 (1),22942.00 (1),9632.00 (1),2419.00 (1),1105.00 (1),935.00 (1),1466.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,22.43 (1),75.90 (1),1789.00 (1),175.00 (1),11.00 (1),8.00 (1),86.00 (1),40.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,64.64 (1),83.76 (1),79645.00 (1),34564.00 (1),6536.00 (1),6784.00 (1),2387.00 (1),4018.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,21.12 (1),85.18 (1),4775.00 (1),2347.00 (1),46.00 (1),34.00 (1),75.00 (1),87.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,22.33 (1),84.06 (1),15912.00 (1),5202.00 (1),124.00 (1),92.00 (1),400.00 (1),234.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,0.00 (1),NaN (1),308.00 (1),0.00 (1),0.00 (1),0.00 (1),6.00 (1),0.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,-1.00 (1),73.63 (1),558.00 (1),351.00 (1),2.00 (1),5.00 (1),22.00 (1),17.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605612,bdd100k,15.02 (1),75.25 (1),2832.00 (1),648.00 (1),34.00 (1),34.00 (1),137.00 (1),73.00 (1),
