submission_pk,User,score
882656,kjbarker,0.8861 (1),
882585,davegh,0.8517 (2),
882668,vivekkalyanHS,0.8325 (3),
882634,jiawei1998,0.8305 (4),
882592,pitehu,0.7997 (5),
882664,lbouscarrat,0.7639 (6),
882684,AdeepH,0.7578 (7),
882568,Jitin,0.7294 (8),
882679,skent,0.7049 (9),
882627,alaeddin,0.4530 (10),
