submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
660683,CETC-CCS,32.8704 (12),0.9144 (8),10.43 (20),1.00 (1),1.00 (1),
653158,whyme,33.0326 (2),0.9151 (4),10.43 (20),0.00 (2),1.00 (1),
652707,shuanholmes,33.0238 (3),0.9151 (5),34.11 (10),0.00 (2),1.00 (1),
652397,adamkau,32.2697 (31),0.9095 (27),10.00 (22),0.00 (2),1.00 (1),
651887,jeasonzhou1,32.9007 (10),0.9134 (16),120.40 (3),0.00 (2),1.00 (1),
638101,jeasonchou,32.3179 (30),0.9062 (33),12.40 (18),0.00 (2),1.00 (1),
624085,poteman,31.0118 (41),0.8778 (42),125.00 (2),1.00 (1),1.00 (1),
663927,wch1996,32.7284 (17),0.9138 (12),32.44 (12),0.00 (2),0.00 (2),
655244,thovdamm,32.7078 (18),0.9142 (9),22.61 (15),0.00 (2),0.00 (2),
655221,ckames,32.1755 (33),0.9074 (30),38.90 (9),0.00 (2),0.00 (2),
655219,feras,32.7673 (16),0.9145 (7),34.00 (11),0.00 (2),0.00 (2),
655116,deandx,31.8343 (35),0.9072 (31),25.13 (14),0.00 (2),0.00 (2),
654518,golfness,32.5512 (24),0.9099 (25),10.32 (21),0.00 (2),0.00 (2),
654509,o0w0o,31.8230 (36),0.9034 (35),42.00 (7),0.00 (2),0.00 (2),
654503,Noah_TerminalVision,32.7859 (15),0.9125 (19),86.00 (4),0.00 (2),0.00 (2),
653730,zhihongp,33.2195 (1),0.9171 (1),22.21 (16),0.00 (2),0.00 (2),
653434,kukudeni,32.9621 (9),0.9137 (13),10.43 (20),0.00 (2),0.00 (2),
653120,tongtong,32.6788 (19),0.9128 (18),0.01 (29),1.00 (1),0.00 (2),
652910,qiuzhangTiTi,32.5135 (25),0.9111 (21),25.13 (14),0.00 (2),0.00 (2),
652640,consonCamera,33.0069 (4),0.9164 (3),28.01 (13),0.00 (2),0.00 (2),
651876,WCH_Camera,33.0043 (6),0.9165 (2),28.01 (13),0.00 (2),0.00 (2),
651746,HouseLee,32.6612 (20),0.9103 (23),10.32 (21),0.00 (2),0.00 (2),
650048,swz30,32.5667 (23),0.9138 (10),1.30 (28),0.00 (2),0.00 (2),
649958,yc_yang,32.4709 (26),0.9095 (26),11.84 (19),0.00 (2),0.00 (2),
649603,hanyoseob,32.1812 (32),0.9075 (29),19.10 (17),0.00 (2),0.00 (2),
649292,conson0214,32.9672 (8),0.9135 (14),40.00 (8),0.00 (2),0.00 (2),
647020,zunxun,32.8644 (13),0.9129 (17),28.01 (13),0.00 (2),0.00 (2),
646619,xuanzhao,31.6771 (38),0.8958 (38),10.43 (20),0.00 (2),0.00 (2),
645913,CKH_Camera,32.8735 (11),0.9108 (22),40.00 (8),0.00 (2),0.00 (2),
644809,nancy_mehta,28.8796 (44),0.8170 (44),6.43 (23),0.00 (2),0.00 (2),
644262,HaodongYu,32.4134 (29),0.9094 (28),64.38 (5),0.00 (2),0.00 (2),
643569,XXH,32.8505 (14),0.9138 (11),40.00 (8),0.00 (2),0.00 (2),
643242,charpo,31.3907 (40),0.8905 (39),5.90 (24),0.00 (2),0.00 (2),
643160,DeepBlueAI,32.6453 (21),0.9124 (20),54.00 (6),0.00 (2),0.00 (2),
642962,rajatguptakgp,29.7255 (43),0.8298 (43),10.43 (20),0.00 (2),0.00 (2),
642454,image_restore,31.5600 (39),0.8891 (40),3.00 (27),0.00 (2),0.00 (2),
641377,lixinhaha,32.4256 (28),0.9062 (32),3.00 (27),0.00 (2),0.00 (2),
634634,Timothy_Cilered,31.9976 (34),0.8997 (36),4.13 (26),0.00 (2),0.00 (2),
629390,ostyakov,31.7316 (37),0.8965 (37),250.43 (1),1.00 (1),0.00 (2),
623528,zhlawliet,30.4376 (42),0.8835 (41),4.91 (25),0.00 (2),0.00 (2),
655178,pangpangkaka,32.9861 (7),0.9135 (15),-1.00 (30),-1.00 (3),-1.00 (3),
655134,LoveLetter,33.0063 (5),0.9146 (6),-1.00 (30),-1.00 (3),-1.00 (3),
653560,ghgh3269,32.4509 (27),0.9051 (34),-1.00 (30),-1.00 (3),-1.00 (3),
652921,AML-CV,32.5873 (22),0.9101 (24),-1.00 (30),-1.00 (3),-1.00 (3),
