submission_pk,User,MaxGM,GM,TPR,TNR
956400,chmayer,0.829 (1),0.829 (1),0.784 (5),0.876 (2),
918407,XiangXU,0.826 (2),0.826 (2),0.789 (4),0.864 (3),
1009258,zzbin,0.804 (3),0.804 (3),0.791 (3),0.816 (5),
1129492,zzybeihang,0.804 (4),0.804 (4),0.828 (2),0.780 (7),
1027809,zj,0.803 (5),0.803 (5),0.837 (1),0.771 (9),
1018461,JianqiuChen,0.788 (6),0.788 (6),0.697 (13),0.890 (1),
513953,voigtlaender,0.757 (7),0.757 (7),0.681 (14),0.842 (4),
511838,Daikenan,0.757 (8),0.757 (8),0.732 (10),0.782 (6),
493875,achalddave,0.716 (9),0.716 (9),0.655 (15),0.782 (6),
666719,YPZhang,0.646 (10),0.646 (10),0.539 (16),0.774 (8),
1034580,Amjin,0.521 (11),0.489 (11),0.729 (11),0.328 (11),
1034559,Amgao,0.506 (12),0.470 (12),0.704 (12),0.314 (12),
975853,RLS-DiMP,0.503 (13),0.437 (13),0.759 (6),0.251 (13),
975865,GD-DiMP,0.503 (13),0.437 (13),0.759 (6),0.251 (13),
1035621,yk58,0.433 (14),0.000 (15),0.751 (7),0.000 (14),
1039093,ykkk,0.430 (15),0.000 (15),0.741 (8),0.000 (14),
1035656,yk57,0.428 (16),0.000 (15),0.733 (9),0.000 (14),
897274,zikun,0.428 (16),0.000 (15),0.733 (9),0.000 (14),
474557,bertinetto,0.397 (17),0.394 (14),0.354 (17),0.438 (10),
474558,jvlmdr,0.295 (18),0.000 (15),0.349 (18),0.000 (14),
492578,RISE_Chris,0.181 (19),0.000 (15),0.131 (19),0.000 (14),
