submission_pk,User,avg,5-1,5-5,10-1,10-5
1138027,LEGR-YijunLiu,0.9141 (1),0.9122 (1),0.9636 (1),0.8509 (1),0.9295 (1),
761488,youngkg,0.8882 (2),0.8781 (2),0.9500 (2),0.8184 (2),0.9063 (2),
1072766,CQARE,0.8624 (3),0.8678 (3),0.9304 (3),0.7741 (3),0.8771 (3),
968563,lzz,0.8250 (4),0.8311 (5),0.9080 (6),0.7302 (5),0.8308 (7),
991232,zoran_wang,0.8118 (5),0.8470 (4),0.8570 (10),0.7644 (4),0.7789 (10),
761521,harbor,0.8102 (6),0.7933 (7),0.9159 (5),0.6748 (7),0.8570 (4),
990855,MGH_STAR,0.8000 (7),0.8074 (6),0.8908 (8),0.6959 (6),0.8059 (8),
832124,hua_shuo,0.7874 (8),0.7638 (8),0.9050 (7),0.6490 (8),0.8320 (6),
1027539,leilou,0.7767 (9),0.7296 (10),0.9183 (4),0.6049 (10),0.8541 (5),
1070968,atry,0.7613 (10),0.7398 (9),0.8838 (9),0.6272 (9),0.7943 (9),
1132412,yinli_,0.7190 (11),0.6808 (12),0.8391 (14),0.5861 (12),0.7699 (11),
915565,mrwei,0.7011 (12),0.6741 (14),0.8503 (12),0.5200 (14),0.7599 (12),
785805,karthick1995,0.6976 (13),0.6771 (13),0.8429 (13),0.5291 (13),0.7411 (13),
982095,CATYIN,0.6028 (14),0.5632 (15),0.7666 (15),0.4221 (15),0.6595 (14),
1107697,Lucas-16,0.5675 (15),0.7275 (11),0.8566 (11),0.5910 (11),0.0947 (15),
