submission_pk,User,score,Computation time
726261,rl_agnet,61.05 (1),515.76 (41),
725485,binbinchen,52.42 (2),556.57 (43),
723764,lujixiang,45.00 (3),929.49 (47),
726796,UN_aiGridOperator,44.15 (4),1314.87 (51),
726470,djmax008,42.95 (5),1136.27 (48),
726710,tIEEmCES,37.13 (6),108.70 (21),
726042,yzm_test,36.35 (7),538.59 (42),
726532,taka,33.55 (8),780.25 (46),
728661,jnznn96,32.89 (9),149.09 (23),
726999,panda0246,31.05 (10),86.92 (19),
726447,jianda,30.77 (11),488.11 (40),
726542,PowerRangers,29.76 (12),361.53 (32),
715623,student,29.76 (12),357.12 (31),
712122,AVF1311,29.76 (12),365.90 (35),
711299,juliamekys,29.76 (12),365.79 (34),
711288,Nastasya,29.76 (12),365.67 (33),
711264,gganastasiya,29.76 (12),367.21 (36),
711257,annetalllll,29.76 (12),371.30 (37),
714708,alaka,27.25 (13),152.14 (24),
714509,polymathAB,26.48 (14),261.15 (29),
726744,yang19,23.54 (15),648.92 (45),
709432,Rccccc.,23.28 (16),175.16 (28),
679387,MagicPowerGrids,23.12 (17),9.62 (7),
706720,_Konstantin_,22.53 (18),12.81 (8),
711734,Desmond,15.57 (19),15.46 (9),
705941,tagore,11.38 (20),1195.21 (49),
722923,ZSW,10.76 (21),8.94 (6),
696704,liujianlin,10.76 (22),6.00 (5),
693039,blesszzy,10.76 (22),5.94 (4),
686029,xinzhixu,9.89 (23),299.11 (30),
707735,mroderick,9.79 (24),36.61 (13),
716096,ansubty,8.76 (25),46.24 (15),
725452,prasang,6.48 (26),89.69 (20),
706272,Anonymous01,3.42 (27),165.31 (27),
726818,DragonGlass,3.41 (28),1294.22 (50),
726811,fdai,1.04 (29),381.15 (38),
722981,qiu_o,0.35 (30),156.03 (25),
712875,hch,0.00 (31),0.78 (1),
708867,ruyueshuo,0.00 (31),24.52 (12),
722568,jajimer,-1.16 (32),135.50 (22),
679216,vmetenev,-17.12 (33),58.15 (17),
718505,radioactive,-24.82 (34),618.48 (44),
678939,EfimovIN,-33.59 (35),421.06 (39),
678960,xukeai,-47.11 (36),48.01 (16),
715184,mwasserer,-49.99 (37),86.62 (18),
726581,THOMSON,-56.24 (38),161.80 (26),
686398,LifeX,-68.31 (39),37.87 (14),
685959,BDonnot,-68.31 (39),23.97 (11),
692625,lewington,-70.96 (40),22.49 (10),
703127,mugoh,-89.30 (41),2.00 (2),
710420,HBYoung,-96.83 (42),3.11 (3),
