submission_pk,User,bestDice,absDiffFG,diffFG,FgBgDice
644638,wuzi,0.86 (1),1.19 (1),-0.56 (1),0.95 (1),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
644638,wuzi,0.88 (1),0.94 (1),-1.53 (1),1.77 (1),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
644638,wuzi,0.75 (1),0.92 (1),-0.23 (1),1.13 (1),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
644638,wuzi,0.76 (1),0.92 (1),0.04 (1),1.15 (1),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
644638,wuzi,0.86 (1),0.95 (1),-0.41 (1),1.08 (1),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
644638,wuzi,,- (-),,,
