submission_pk,User,mAP,bicycle,bus,car,motorbike,person
871798,BD_VIS,54.0630 (1),57.5235 (1),51.3009 (6),80.0239 (5),54.9833 (7),26.4832 (11),
870869,test_dry,51.8775 (2),47.4056 (3),50.7039 (8),80.3727 (4),53.4389 (8),27.4666 (8),
872059,thedarkknight,51.6130 (3),47.5892 (2),54.2579 (5),79.1882 (6),51.6806 (13),25.3491 (17),
871378,wqm123,51.2973 (4),46.7901 (5),39.6987 (11),80.8091 (2),62.8223 (1),26.3663 (13),
977506,congrre,50.3283 (5),35.8993 (21),61.6604 (3),68.1113 (36),42.5025 (34),43.4682 (3),
872126,tangweiyi,50.2574 (6),45.5901 (8),62.4295 (1),76.8972 (12),41.4817 (38),24.8887 (19),
977418,ez111222,49.7826 (7),34.5532 (26),55.2160 (4),69.1749 (31),45.2812 (23),44.6876 (2),
872006,tangzixia,49.6666 (8),39.0477 (16),62.0019 (2),77.5902 (10),45.5435 (21),24.1498 (25),
963607,makeitez,49.3705 (9),33.6224 (28),50.7812 (7),65.4142 (44),50.1156 (14),46.9193 (1),
871351,Mh,47.8765 (10),46.8333 (4),22.6885 (32),80.7863 (3),62.7018 (2),26.3728 (12),
871319,DeepBlueAI,47.4170 (11),40.9892 (12),38.1914 (15),76.5441 (14),52.9608 (9),28.3993 (5),
870351,wudilailai,46.9991 (12),41.9988 (11),41.1600 (10),76.5191 (15),48.4968 (15),26.8206 (10),
872212,worldpeace,46.7265 (13),37.1223 (18),48.8385 (9),83.6955 (1),42.4003 (35),21.5761 (31),
871064,clevert,45.0320 (14),42.7351 (10),32.4802 (18),76.8147 (13),52.9531 (10),20.1771 (37),
871136,peng24,44.8680 (15),44.3187 (9),27.1100 (25),77.7860 (9),52.4753 (12),22.6499 (29),
870307,huyucheng,43.1547 (16),45.8804 (7),39.1846 (12),61.4410 (52),44.4726 (28),24.7949 (20),
869502,whynot,42.9491 (17),46.1790 (6),38.7624 (14),61.7714 (51),44.9060 (26),23.1266 (27),
871304,GOOOODNIGHT,42.4656 (18),35.2936 (23),23.8967 (29),72.8605 (25),55.7310 (3),24.5464 (22),
850800,Klawens,41.9888 (19),30.6386 (33),31.7298 (20),78.8499 (7),43.3593 (32),25.3665 (16),
867162,proposals,41.8599 (20),32.8639 (30),33.7078 (16),74.4703 (22),43.9885 (31),24.2688 (24),
866135,invictus,41.8599 (20),32.8639 (30),33.7078 (16),74.4703 (22),43.9885 (31),24.2688 (24),
872277,gujingxiao,41.7083 (21),34.0385 (27),23.3435 (30),75.6761 (20),55.0892 (6),20.3942 (33),
871711,luooofan,41.5847 (22),39.7504 (15),15.0596 (45),76.0756 (17),52.7120 (11),24.3258 (23),
858549,Kaggle,41.5006 (23),32.9564 (29),24.6842 (26),78.8470 (8),45.4754 (22),25.5399 (15),
871019,Densen,41.3145 (24),40.0479 (14),27.1418 (24),74.0467 (23),45.1076 (24),20.2287 (36),
871848,hrishikeshps,39.8742 (25),35.2099 (24),24.3428 (28),76.2775 (16),41.1967 (39),22.3440 (30),
879201,memelvin99,39.3032 (26),35.4611 (22),18.3807 (39),76.0179 (18),46.2633 (20),20.3928 (34),
871620,hachreak,39.2452 (27),19.1497 (52),38.9583 (13),75.9873 (19),37.1498 (44),24.9810 (18),
871017,zhangst,38.8310 (28),30.4330 (35),24.5325 (27),74.7028 (21),38.5501 (43),25.9365 (14),
871974,wnagpeiyu,38.7319 (29),37.0127 (19),19.9542 (37),73.6996 (24),44.8488 (27),18.1445 (44),
871762,NWPU-ASGO,38.2903 (30),37.8831 (17),16.0030 (42),72.2005 (27),46.2946 (19),19.0701 (40),
866438,Mage,38.2692 (31),25.7065 (41),32.4357 (19),71.3781 (29),44.4066 (29),17.4192 (46),
865565,bugplayer,38.2164 (32),27.8588 (36),23.3167 (31),68.8194 (33),55.3361 (5),15.7508 (50),
867126,duanyanwuping,38.2116 (33),31.3932 (31),10.4952 (54),71.8900 (28),46.9486 (18),30.3311 (4),
856621,hri,37.9303 (34),31.2143 (32),30.1904 (22),70.6082 (30),34.6159 (50),23.0227 (28),
871266,ZhangYuqi,37.8271 (35),22.3072 (46),30.2592 (21),68.6735 (34),40.2274 (40),27.6685 (6),
870543,lys,37.5560 (36),34.6314 (25),22.5711 (33),76.9357 (11),33.6127 (52),20.0289 (38),
870514,vijaygao,37.3915 (37),27.2045 (38),9.7271 (56),66.8506 (38),55.5475 (4),27.6276 (7),
871108,kai_nwpu,37.2441 (38),40.7509 (13),12.9678 (50),68.8728 (32),44.9081 (25),18.7208 (42),
849411,Markstone,36.8958 (39),26.8014 (39),33.3536 (17),68.1050 (37),35.7256 (48),20.4932 (32),
851300,poker125,36.0197 (40),36.9233 (20),22.0183 (34),66.0851 (41),34.6964 (49),20.3755 (35),
869776,ywx-ustc,34.9564 (41),27.3017 (37),28.9922 (23),65.2263 (45),36.3733 (46),16.8885 (47),
845236,earhian,34.4371 (42),22.1746 (47),18.3124 (40),72.7545 (26),38.9271 (42),20.0170 (39),
871296,sk15,33.1296 (43),24.8589 (43),14.3402 (47),66.1600 (40),33.3152 (53),26.9738 (9),
852392,xieyy,32.9978 (44),16.7199 (55),12.9849 (49),66.4091 (39),44.2418 (30),24.6333 (21),
866816,Ppppp,32.1596 (45),30.4940 (34),16.1515 (41),63.5312 (48),31.9824 (54),18.6387 (43),
872117,MOTTO,31.4856 (46),25.1962 (42),15.6656 (44),59.5386 (55),41.7013 (37),15.3263 (51),
866224,dmy,29.7268 (47),8.9903 (63),21.6291 (35),68.5502 (35),47.3607 (16),2.1037 (65),
865504,zekunzhang,29.5080 (48),19.3878 (50),7.5860 (58),65.4315 (43),36.3246 (47),18.8104 (41),
862597,wanxinyan,29.4604 (49),23.0159 (45),13.8889 (48),63.8729 (47),33.7564 (51),12.7682 (55),
871646,zhoufei,29.1325 (50),19.3793 (51),11.3476 (51),60.2843 (54),39.8041 (41),14.8472 (52),
869490,daybreak,28.4953 (51),9.3254 (61),15.9534 (43),59.2228 (57),42.0865 (36),15.8885 (49),
870282,pingan_wxd,27.9324 (52),10.8371 (57),4.9190 (61),62.2694 (50),47.1334 (17),14.5032 (53),
