submission_pk,User,Accuracy
455481,goldbm3,0.8925 (1),
455314,joywang1999,0.8900 (2),
455252,faumac,0.8850 (3),
454817,liup4,0.8775 (4),
455227,lllllllllyd,0.8775 (4),
455365,qiuzhangyk,0.8775 (4),
455535,XinruCheng,0.8600 (5),
455116,Oliver,0.8600 (5),
455140,fox_ashli,0.8600 (5),
454570,jiang3,0.8575 (6),
454924,BlueCodInc,0.8550 (7),
455016,yangy23,0.8500 (8),
455168,hey13,0.8500 (8),
453658,igerstein,0.8500 (8),
455194,chambm6,0.8500 (8),
455074,Jingyi07,0.8500 (8),
454895,ABC,0.8450 (9),
455534,wenlin,0.8450 (9),
454905,ashyao,0.8425 (10),
453862,daiy3,0.8200 (11),
455538,chuwen,0.8175 (12),
455527,granie2,0.5650 (13),
481275,guyon,0.5000 (14),
455141,tianhaogu,0.5000 (14),
452458,olyerickson,0.5000 (14),
454966,junkaipeng,0.3875 (15),
455622,XinruXinru,0.3300 (16),
454875,weisss3,-1.0000 (17),
454965,Jimmy123,-1.0000 (17),
455471,bennek,-1.0000 (17),
454557,heatherhe222,-1.0000 (17),
455153,pd72,-1.0000 (17),
455099,mankoa,-1.0000 (17),
454663,Fitztory,-1.0000 (17),
454664,CLzy,-1.0000 (17),
