submission_pk,User,score,EN,ET,HR,FI,SL
574235,Ferryman,0.774 (1),0.774 (1),0.0 (1),0.634 (4),0.745 (2),0.605 (5),
571371,will_go,0.768 (2),0.768 (2),0.0 (1),0.594 (6),0.772 (1),0.583 (7),
574587,aina.gari,0.760 (3),0.760 (3),0.0 (1),0.000 (12),0.428 (8),0.000 (12),
574686,dloureiro,0.754 (4),0.754 (4),0.0 (1),0.616 (5),0.360 (11),0.560 (8),
576311,hansih,0.754 (5),0.754 (5),0.0 (1),0.664 (3),0.626 (5),0.648 (2),
575148,NourKhdour1,0.738 (6),0.738 (6),0.0 (1),0.440 (9),0.546 (7),0.512 (9),
574711,tmelo,0.730 (7),0.730 (7),0.0 (1),0.740 (1),0.726 (3),0.646 (3),
775485,piter324,0.721 (8),0.721 (8),0.0 (1),0.000 (12),0.000 (13),0.000 (12),
555120,gamallo,0.721 (9),0.721 (9),0.0 (1),0.416 (10),0.025 (12),0.624 (4),
575141,HonoMi,0.712 (10),0.712 (10),0.0 (1),0.681 (2),0.574 (6),0.654 (1),
575075,jorge.reyes,0.544 (11),0.544 (11),0.0 (1),0.374 (11),0.389 (10),0.328 (11),
570567,COMA,0.529 (12),0.529 (12),0.0 (1),0.531 (8),0.399 (9),0.510 (10),
574401,giu_rmb,0.079 (13),0.079 (13),0.0 (1),0.000 (12),0.000 (13),0.000 (12),
577442,bicici,0.042 (14),0.042 (14),0.0 (1),0.587 (7),0.671 (4),0.603 (6),
562171,tthhanh,NaN (15),NaN (15),0.0 (1),NaN (12),NaN (13),NaN (12),
