submission_pk,User,f1,recall,prec,acc
1141671,rocky.arkan,0.913 (1),0.925 (1),0.911 (1),0.000 (1),
1106819,thiffany.pratama,0.899 (2),0.914 (2),0.893 (3),0.000 (1),
711280,cahya,0.898 (3),0.910 (3),0.897 (2),0.000 (1),
