submission_pk,User,KLD,AE,RAE
385968,THU_HCSI_IDU,0.02900 (1),0.07000 (1),0.64100 (3),
383642,mcliche,0.03100 (2),0.07200 (2),0.46600 (1),
386370,bakrianoo,0.06500 (3),0.09400 (3),0.49700 (2),
383091,preslav,0.17500 (4),0.18400 (4),2.11000 (5),
383070,seirasto,0.88700 (5),0.24200 (5),1.15500 (4),
385064,Epix,0.88700 (5),0.24200 (5),1.15500 (4),
386350,sureshsanampudi,1.75000 (6),0.69600 (6),9.01300 (6),
