submission_pk,User,avg,5-1-0.15,5-5-0.15,5-1-0.5,5-5-0.5
1069872,atry,0.9152 (1),0.9158 (1),0.9363 (1),0.8981 (1),0.9105 (1),
1007060,wjw,0.8194 (2),0.7953 (2),0.8631 (2),0.7999 (2),0.8192 (2),
902694,haoranz6,0.6361 (3),0.7184 (3),0.7228 (3),0.5502 (3),0.5528 (3),
