submission_pk,User,PSNR,SSIM,Runtime per image,CPU[0] / GPU[1],Traditional[0] / Deep[1]
645222,Anonymous,38.9 (1),1.0 (2),23.1 (1),0.0 (2),1.0 (1),
646511,Anonymous,38.8 (2),1.0 (3),0.0 (4),0.0 (2),1.0 (1),
646074,Anonymous,38.7 (3),1.0 (1),0.0 (4),0.0 (2),1.0 (1),
646665,Anonymous,38.4 (4),1.0 (5),0.0 (3),0.0 (2),1.0 (1),
644579,Anonymous,38.1 (5),1.0 (8),0.0 (3),0.0 (2),1.0 (1),
628709,Anonymous,37.8 (6),1.0 (7),0.0 (4),0.0 (2),1.0 (1),
607753,Anonymous,37.7 (7),1.0 (6),0.0 (4),0.0 (2),1.0 (1),
638157,Anonymous,37.2 (8),1.0 (4),0.0 (4),0.0 (2),1.0 (1),
646570,Anonymous,36.4 (9),1.0 (10),0.0 (4),1.0 (1),1.0 (1),
647495,Anonymous,36.2 (10),1.0 (9),0.0 (4),0.0 (2),1.0 (1),
645861,Anonymous,36.0 (11),1.0 (11),0.0 (4),1.0 (1),1.0 (1),
636545,Anonymous,34.7 (12),1.0 (15),0.0 (4),0.0 (2),1.0 (1),
645344,Anonymous,34.4 (13),1.0 (14),0.0 (4),0.0 (2),1.0 (1),
633344,Anonymous,34.3 (14),1.0 (12),0.0 (4),0.0 (2),0.0 (2),
616120,Anonymous,33.8 (15),1.0 (13),0.0 (4),0.0 (2),0.0 (2),
620570,Anonymous,33.2 (16),1.0 (16),0.0 (4),0.0 (2),1.0 (1),
646845,Anonymous,30.5 (17),0.9 (18),0.2 (2),0.0 (2),1.0 (1),
627768,Anonymous,29.8 (18),0.9 (19),0.0 (4),0.0 (2),0.0 (2),
641179,Anonymous,25.6 (19),0.9 (17),-1.0 (5),-1.0 (3),-1.0 (3),
621105,Anonymous,12.1 (20),0.5 (20),0.0 (4),0.0 (2),1.0 (1),
