submission_pk,User,mean_acc_all,mean_acc_classes
501664,lunit,0.720 (1),- (-),
501688,Yingwei.Pan,0.714 (2),- (-),
501218,denemmy,0.713 (3),- (-),
501656,ZhedongZheng,0.708 (4),- (-),
500399,anonymusua,0.682 (5),- (-),
501382,XX,0.661 (6),- (-),
501662,use,0.653 (7),- (-),
501496,madamada,0.652 (8),- (-),
500840,tkkim93,0.639 (9),- (-),
500465,continue,0.631 (10),- (-),
501029,nywenjing,0.631 (11),- (-),
501557,chacki,0.625 (12),- (-),
501514,whale,0.605 (13),- (-),
499447,ob,0.593 (14),- (-),
495667,clessvna,0.550 (15),- (-),
501485,zju_dejianli,0.520 (16),- (-),
501193,jingwang,0.491 (17),- (-),
498638,cortwave,0.382 (18),- (-),
