submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
836939,csbhr,27.9231 (1),0.7814 (1),6.5000 (32),0.0 (2),0.0 (2),
836468,SRCB-Z,27.8814 (2),0.7800 (2),0.0100 (3),0.0 (2),0.0 (2),
835487,APTX4869,27.8771 (3),0.7789 (3),-1.0000 (1),-1.0 (3),-1.0 (1),
836996,jieZhang,27.8629 (4),0.7781 (5),-1.0000 (1),-1.0 (3),-1.0 (1),
836644,njust_css,27.7848 (5),0.7781 (6),7.0000 (33),0.0 (2),0.0 (2),
817645,htc,27.7763 (6),0.7768 (9),100.0000 (37),0.0 (2),1.0 (3),
828377,netai,27.7726 (7),0.7778 (7),1.5000 (24),0.0 (2),0.0 (2),
832896,suen,27.7546 (8),0.7783 (4),1.6870 (26),0.0 (2),0.0 (2),
827383,q935970314,27.7430 (9),0.7770 (8),-1.0000 (1),-1.0 (3),-1.0 (1),
817616,jing2020,27.7271 (10),0.7759 (11),0.6000 (18),0.0 (2),0.0 (2),
809392,xisi,27.7261 (11),0.7756 (13),1.5000 (24),0.0 (2),0.0 (2),
836892,swz30,27.7202 (12),0.7764 (10),0.2000 (10),0.0 (2),0.0 (2),
837753,ZuoYS,27.6901 (13),0.7756 (12),2.3000 (28),0.0 (2),1.0 (3),
812834,tgp,27.6561 (14),0.7744 (14),0.1500 (9),1.0 (1),0.0 (2),
778851,Veigar,27.6487 (15),0.7737 (15),1.3000 (22),0.0 (2),0.0 (2),
835518,zengkai,27.5900 (16),0.7717 (20),3.0500 (29),0.0 (2),0.0 (2),
828353,NO.2,27.5578 (17),0.7719 (19),0.0100 (3),0.0 (2),0.0 (2),
816561,vipsl,27.5546 (18),0.7723 (17),1.0000 (20),0.0 (2),0.0 (2),
835700,xiaozhazha,27.5365 (19),0.7720 (18),0.0100 (3),0.0 (2),0.0 (2),
767408,zhihongp,27.4402 (20),0.7717 (21),1.1800 (21),0.0 (2),0.0 (2),
825148,hezongyao,27.4274 (21),0.7692 (22),9.3300 (35),0.0 (2),0.0 (2),
837018,SCUT-ZS,27.3404 (22),0.7639 (28),3.0900 (30),0.0 (2),0.0 (2),
823886,Jia.Wei,27.3367 (23),0.7669 (25),0.0100 (3),1.0 (1),0.0 (2),
837722,rtqsa002,27.2953 (24),0.7628 (30),0.4300 (15),0.0 (2),0.0 (2),
787390,yh673025667,27.2853 (25),0.7634 (29),0.0100 (3),0.0 (2),0.0 (2),
819179,AlexZou,27.2716 (26),0.7640 (27),10.4300 (36),0.0 (2),0.0 (2),
811921,QiangLiu,27.2505 (27),0.7647 (26),0.5500 (17),0.0 (2),0.0 (2),
769495,adityac8,27.1494 (28),0.7617 (31),0.2000 (10),0.0 (2),0.0 (2),
823604,blackcat,27.1236 (29),0.7605 (32),3.9400 (31),0.0 (2),0.0 (2),
837784,feras,27.1103 (30),0.7737 (16),1.4800 (23),0.0 (2),0.0 (2),
815593,Meteor,27.0834 (31),0.7590 (34),0.0500 (5),0.0 (2),0.0 (2),
835435,nove,27.0811 (32),0.7591 (33),0.0600 (6),0.0 (2),0.0 (2),
828820,dogunKIM,27.0681 (33),0.7687 (23),0.7400 (19),0.0 (2),0.0 (2),
771512,wh_njust,27.0156 (34),0.7571 (37),0.5000 (16),0.0 (2),0.0 (2),
809016,d.svitov,26.9990 (35),0.7563 (38),0.3157 (12),0.0 (2),0.0 (2),
823213,hanjohn0,26.9914 (36),0.7552 (39),8.0000 (34),1.0 (1),0.0 (2),
821016,xdhm2017,26.9631 (37),0.7573 (36),-1.0000 (1),-1.0 (3),-1.0 (1),
805348,hmroh,26.9330 (38),0.7541 (41),0.3490 (13),0.0 (2),0.0 (2),
834757,thovdamm,26.9147 (39),0.7582 (35),1.5000 (24),0.0 (2),0.0 (2),
786725,junpyo_hong,26.8628 (40),0.7541 (40),-1.0000 (1),0.0 (2),0.0 (2),
827149,Ruikang_Xu,26.8625 (41),0.7532 (42),-1.0000 (1),-1.0 (3),-1.0 (1),
784017,xxy789,26.7821 (42),0.7503 (43),0.0100 (3),1.0 (1),0.0 (2),
826879,zyxiao,26.7293 (43),0.7496 (44),-1.0000 (1),-1.0 (3),-1.0 (1),
811954,claroche,26.6911 (44),0.7448 (46),0.1000 (8),0.0 (2),0.0 (2),
785592,heyday097,26.6247 (45),0.7461 (45),0.2120 (11),0.0 (2),0.0 (2),
771516,RAY77,26.4387 (46),0.7389 (47),0.1000 (8),0.0 (2),0.0 (2),
806788,kiwi123,26.3224 (47),0.7325 (48),0.0500 (5),0.0 (2),0.0 (2),
821909,tarunkr,26.2480 (48),0.7677 (24),0.0100 (3),1.0 (1),0.0 (2),
766084,BeibeiLin,26.2480 (48),0.7677 (24),0.0100 (3),1.0 (1),0.0 (2),
764598,SeungjunNah,26.2480 (48),0.7677 (24),0.0100 (3),1.0 (1),0.0 (2),
819351,xueqingfang,26.2016 (49),0.7284 (49),0.0410 (4),0.0 (2),0.0 (2),
818808,zty,25.9481 (50),0.7230 (50),0.0090 (2),0.0 (2),0.0 (2),
783081,Vincent_IGrass,25.8367 (51),0.7220 (51),0.3500 (14),0.0 (2),0.0 (2),
802919,cydiachen,25.7415 (52),0.7186 (52),0.5000 (16),0.0 (2),0.0 (2),
831436,akxie,25.6225 (53),0.7057 (53),0.0700 (7),0.0 (2),1.0 (3),
817688,Zhang9678,23.4911 (54),0.6273 (55),10.4300 (36),1.0 (1),1.0 (3),
822537,skshivam64,22.5215 (55),0.6843 (54),2.0000 (27),0.0 (2),0.0 (2),
802139,akhilkashok,9.2255 (56),0.2668 (56),1.5170 (25),0.0 (2),0.0 (2),
