submission_pk,User,Meteor,BLEU
480675,stig.gronroos,64.29 (1),44.11 (1),
479466,jindra.helcl,60.95 (2),40.63 (2),
490198,adv_rec,60.54 (3),40.09 (3),
477585,ozancaglayan,59.85 (4),39.48 (4),
479269,renj,59.53 (5),38.96 (5),
608525,Zixu,56.58 (6),35.96 (6),
476024,chiraag,54.89 (7),31.21 (7),
475609,fblain,52.23 (8),28.57 (8),
