submission_pk,User,BLEU
937551,CSS_TSC,27.6 (1),
931038,JeonghyeokPark,26.8 (2),
937660,kaiyuhuang,21.7 (3),
950308,istic-team,18.1 (4),
941302,Ajay_backup,17.0 (5),
