submission_pk,User,MCC,F1 BAD,F1 OK
652416,djlee_beringlab,0.5974 (1),0.6619 (1),0.9346 (2),
653023,yuriak,0.5828 (2),0.6441 (2),0.9378 (1),
652749,NiuTrans,0.4998 (3),0.5814 (3),0.9160 (7),
653276,Raphael_NICT,0.4852 (4),0.5681 (4),0.9162 (6),
765261,tharindu,0.4721 (5),0.5417 (7),0.9255 (4),
653663,mfomicheva,0.4714 (6),0.5593 (5),0.9046 (10),
652615,Joao1996,0.4653 (7),0.5496 (6),0.9156 (8),
651850,cuiqu,0.4506 (8),0.4984 (10),0.9288 (3),
652488,ddk,0.4319 (9),0.5222 (8),0.9094 (9),
652666,rpala,0.4233 (10),0.5204 (9),0.8869 (11),
744709,dammy,0.3945 (11),0.4620 (12),0.9195 (5),
643471,erickrf,0.3576 (12),0.4676 (11),0.8793 (12),
submission_pk,User,MCC,F1 BAD,F1 OK
653023,yuriak,0.5234 (1),0.6486 (1),0.8745 (1),
652416,djlee_beringlab,0.4541 (2),0.6094 (2),0.8180 (4),
653276,Raphael_NICT,0.3534 (3),0.5371 (3),0.8061 (5),
652615,Joao1996,0.3488 (4),0.5353 (4),0.8008 (7),
652749,NiuTrans,0.3467 (5),0.5319 (5),0.8056 (6),
765261,tharindu,0.3427 (6),0.5017 (7),0.8394 (2),
652488,ddk,0.3238 (7),0.5157 (6),0.7993 (8),
744709,dammy,0.2762 (8),0.4289 (9),0.8365 (3),
643471,erickrf,0.2664 (9),0.4771 (8),0.7791 (9),
653663,mfomicheva,- (10),- (10),- (10),
652666,rpala,- (10),- (10),- (10),
651850,cuiqu,- (10),- (10),- (10),
