submission_pk,User,Accuracy,F-score,MRR,MAP
460514,romang,0.2760 (1),0.8300 (1),0.3860 (1),0.2760 (1),
460396,saeednajafi,0.2100 (2),0.8024 (2),0.3002 (2),0.2100 (2),
460281,soumyadeep,0.1900 (3),0.8014 (3),0.1900 (3),0.1900 (3),
