submission_pk,User,EER
1070387,Anonymous,21.7 (1),
1072987,Anonymous,23.0 (2),
1072914,Anonymous,23.8 (3),
1072345,Anonymous,25.9 (4),
1071026,Anonymous,26.1 (5),
1072274,Anonymous,26.3 (6),
1072818,Anonymous,26.8 (7),
1072775,Anonymous,27.1 (8),
1071406,Anonymous,27.3 (9),
1073005,Anonymous,27.3 (10),
1071350,Anonymous,28.2 (11),
1073013,Anonymous,29.0 (12),
1072976,Anonymous,29.2 (13),
1071049,Anonymous,29.8 (14),
1071218,Anonymous,30.1 (15),
1071019,Anonymous,30.2 (16),
1072988,Anonymous,30.6 (17),
1072848,Anonymous,30.7 (18),
1072956,Anonymous,30.8 (19),
1071493,Anonymous,31.0 (20),
1072971,Anonymous,31.8 (21),
1070441,Anonymous,32.0 (22),
1067793,Anonymous,32.1 (23),
1066523,Anonymous,32.2 (24),
1071283,Anonymous,32.5 (25),
1072236,Anonymous,32.8 (26),
1072921,Anonymous,33.0 (27),
1072779,Anonymous,34.7 (28),
1072740,Anonymous,36.2 (29),
1072516,Anonymous,37.2 (30),
1072460,Anonymous,40.0 (31),
1067119,Anonymous,41.2 (32),
1071784,Anonymous,41.2 (33),
1067342,Anonymous,42.9 (34),
1069976,Anonymous,46.2 (35),
1069192,Anonymous,46.3 (36),
1072943,Anonymous,47.9 (37),
1067742,Anonymous,68.9 (38),
