submission_pk,User,Average AP
486932,zed0630,0.7060 (1),
485788,hongsong.wang,0.7025 (2),
695412,Bresee,0.6915 (3),
485841,saberZero,0.6861 (4),
485797,ws,0.6707 (5),
485343,boke,0.6629 (6),
481498,herrylu,0.6470 (7),
505680,foobar,0.6417 (8),
485134,guan,0.6369 (9),
485685,Vicky,0.6368 (10),
481493,zeenolife,0.6300 (11),
485637,topc,0.6219 (12),
481568,zhaozhenxing904,0.6193 (13),
481449,chenm,0.6159 (14),
485761,shirley.s,0.6153 (15),
481616,Vick,0.6090 (16),
482633,guyubit,0.5931 (17),
481465,xiaozhuka,0.5826 (18),
484269,chuchen,0.5669 (19),
620525,zdhAaron,0.5491 (20),
516751,sophiahxw,0.4068 (21),
528932,subha94,0.0001 (22),
