submission_pk,User,correct
707548,jilongwang,56.7 (1),
676722,BeibeiLin,54.3 (2),
708708,dtdtdt,52.8 (3),
695516,yayashang,52.4 (4),
704901,panfengzhang,49.2 (5),
708528,YS94,45.3 (6),
681013,mclab,45.3 (6),
692894,recognizer,42.3 (7),
708951,yangchris11,38.0 (8),
705624,Mage,29.3 (9),
711273,Wbz,27.0 (10),
711162,kouen93,23.7 (11),
682558,sjr959,22.3 (12),
710394,vpromise,22.0 (13),
681079,dmitrykonovalov,20.1 (14),
689856,srl,19.6 (15),
691231,ChenhaoShi,19.3 (16),
679446,bmbo,19.1 (17),
706910,HeHaodi,19.0 (18),
704983,u1234x1234,19.0 (18),
709934,zhangchaoyue,18.5 (19),
710999,annetalllll,18.1 (20),
708422,bhparmar,18.1 (20),
708043,Spade_S,18.1 (20),
693887,hqy,18.1 (20),
690094,sch,18.1 (20),
675598,moozoohoo,18.1 (20),
709958,yeming,17.7 (21),
688925,XDH,14.4 (22),
682650,icety3,13.2 (23),
678093,ansvic,12.3 (24),
688412,insu,11.3 (25),
711361,Almph,10.2 (26),
678873,PatrickStar,6.8 (27),
710886,HwarangKim,3.9 (28),
710234,yuanhao,2.5 (29),
680904,wowzhangjie,2.1 (30),
707947,xxxxxx,1.0 (31),
711508,chnsduss,0.0 (32),
683559,SergeyBulanov,0.0 (32),
679008,rozendetr,0.0 (32),
673162,lzq,0.0 (32),
