submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
397648,sanghyun,34.955 (1),0.9400 (1),17.290 (26),0.0 (2),0.0 (2),
397453,zzmmzz,34.750 (2),0.9384 (2),1.300 (9),0.0 (2),1.0 (1),
397665,sparkfirer,34.491 (3),0.9363 (4),5.590 (18),0.0 (2),0.0 (2),
393257,limbee,34.490 (4),0.9368 (3),6.652 (19),0.0 (2),0.0 (2),
397603,jhyume,34.346 (5),0.9349 (5),11.150 (22),0.0 (2),0.0 (2),
397661,fyc0624,34.259 (6),0.9345 (6),4.800 (16),0.0 (2),0.0 (2),
392776,iorism,34.023 (7),0.9300 (11),9.430 (20),0.0 (2),0.0 (2),
397081,dshnightmare,34.008 (8),0.9294 (12),9.800 (21),1.0 (1),0.0 (2),
392176,cskzh,33.911 (9),0.9308 (7),0.240 (4),0.0 (2),0.0 (2),
397553,phunghx,33.884 (10),0.9307 (8),0.930 (6),0.0 (2),0.0 (2),
397646,xjc_faceall,33.793 (11),0.9302 (9),0.020 (1),0.0 (2),0.0 (2),
397561,spectrum,33.771 (12),0.9288 (15),1.000 (7),1.0 (1),0.0 (2),
396584,xiangyu_xu,33.705 (13),0.9293 (13),5.000 (17),1.0 (1),1.0 (1),
397181,XibinSong,33.678 (14),0.9292 (14),3.130 (15),0.0 (2),0.0 (2),
397120,Jeffery,33.625 (15),0.9275 (16),132.400 (28),1.0 (1),0.0 (2),
396440,baowenbo,33.542 (16),0.9257 (18),50.430 (27),1.0 (1),1.0 (1),
397576,HaydenUI,33.380 (17),0.9265 (17),0.620 (5),0.0 (2),0.0 (2),
397589,tzm1003306213,33.341 (18),0.9300 (10),2.600 (14),0.0 (2),1.0 (1),
397644,lanpa,33.027 (19),0.9240 (19),2.000 (13),0.0 (2),0.0 (2),
397654,xiaochaoqu,32.913 (20),0.9235 (20),1.750 (11),1.0 (1),0.0 (2),
397333,assafsho,32.659 (21),0.9163 (21),831.776 (29),1.0 (1),0.0 (2),
395413,haris,32.195 (22),0.9151 (22),15.110 (25),1.0 (1),0.0 (2),
396731,arnavkj95,31.722 (23),0.9119 (23),1.980 (12),0.0 (2),0.0 (2),
391435,rathorro,31.006 (24),0.8923 (26),0.025 (2),1.0 (1),0.0 (2),
394018,jrob.husky,30.457 (25),0.9045 (25),11.500 (23),1.0 (1),1.0 (1),
396816,sonam,28.709 (26),0.9069 (24),1.420 (10),0.0 (2),0.0 (2),
397580,bigash,28.694 (27),0.8629 (29),0.130 (3),0.0 (2),1.0 (1),
397210,hewavithara,27.679 (28),0.8704 (28),12.850 (24),0.0 (2),0.0 (2),
394522,tgjeon,26.317 (29),0.8788 (27),1.010 (8),0.0 (2),0.0 (2),
